"ASV_id","warmed_fungi_gradient","warmed_fungi","cooled_fungi_gradient","cooled_fungi","High Control","Low Control","Mid Control","Genus","Family","Class","Order","Phylum"
14,-0.465584326529139,-0.446903353158505,0.439147466933654,0.46064147616743,4.41,NA,4.38,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
405,-0.530200359468194,-0.516857563494106,0.436865603867392,0.450164269007768,4.55,4.04,2.45,NA,"Melanommataceae","Dothideomycetes","Pleosporales","Ascomycota"
570,-0.407011252325133,-0.477130391372969,0.43635714773228,0.314548368931253,5.67,5.77,3.27,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
471,-0.332607670114836,-0.277968496709433,0.431244675610318,NA,4.79,NA,NA,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
252,-0.38155339985781,-0.211807572339476,0.429520549233775,0.43915220278662,2.55,0.69,1.61,"Cercophora","Lasiosphaeriaceae","Sordariomycetes","Sordariales","Ascomycota"
691,-0.393395922960277,-0.390424001462849,0.429483591977905,NA,5.74,NA,NA,NA,NA,NA,NA,NA
135,-0.347097120257293,-0.249108689851341,0.428618536406106,0.21086577825532,4.03,NA,1.39,NA,NA,NA,NA,NA
134,-0.446104495082072,-0.447502625626447,0.428302921476267,0.0897568596807262,3.45,NA,NA,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
341,-0.474078999266257,-0.477014046158928,0.428142455826201,0.359155231141712,2.43,3.69,3.17,"Tolypocladium","Ophiocordycipitaceae","Sordariomycetes","Hypocreales","Ascomycota"
197,-0.465713231040534,-0.443578716645617,0.425329643370272,0.46199599835688,2.68,NA,NA,NA,"Hyaloscyphaceae","Leotiomycetes","Helotiales","Ascomycota"
361,-0.371075505356108,-0.321538578669771,0.42129728761902,0.414592381453854,7.25,5.54,6.57,"Laetinaevia","Dermateaceae","Leotiomycetes","Helotiales","Ascomycota"
572,-0.3368111520412,-0.169374948739851,0.419783968932847,0.516228086056431,5.45,NA,4.98,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
641,-0.319971758308781,-0.304989038666388,0.419493715559696,0.465322719510984,3.97,NA,2.75,NA,NA,NA,NA,NA
649,-0.303392768740565,-0.0202467121856257,0.418896564904897,0.453300872476557,2.3,1.7,1.55,"Mortierella","Mortierellaceae","Mortierellomycetes","Mortierellales","Mortierellomycota"
363,-0.320936779031945,-0.0160258866192014,0.416462956213064,0.534367315384295,4.06,3.14,3.11,"Tetracladium","Helotiaceae","Leotiomycetes","Helotiales","Ascomycota"
117,-0.327351849391926,-0.0610041177670732,0.414120277975476,0.57455758468329,3.34,NA,3.4,NA,"Olpidiaceae","Olpidiomycetes","Olpidiales","Olpidiomycota"
148,-0.358770398572566,-0.189558513895525,0.412473929753045,0.327270921108046,3.08,NA,2.4,"Venturia","Venturiaceae","Dothideomycetes","Venturiales","Ascomycota"
77,-0.336301206064058,-0.112332923359143,0.402834182908091,0.251826920784824,4.22,NA,3.36,"Alatospora","Leotiaceae","Leotiomycetes","Helotiales","Ascomycota"
569,-0.471290692469032,-0.428189756697081,0.396629939423931,0.215993889778851,3.27,NA,NA,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
198,-0.377779273548877,-0.238652409343714,0.396579304141908,0.334070131430156,4.32,5.51,4.48,NA,NA,"Leotiomycetes","Helotiales","Ascomycota"
451,-0.438766049330162,-0.422206426720097,0.393032769481118,0.214739057521987,5.69,3.04,4.32,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
306,-0.250742491450233,0.0479259475329126,0.392917447087334,0.557002186467359,3.32,4.03,3.82,NA,"Extremaceae","Dothideomycetes","Capnodiales","Ascomycota"
57,-0.390611083483375,-0.33849612940739,0.390073906095939,0.466790723996821,2.95,NA,NA,NA,NA,"Leotiomycetes","Helotiales","Ascomycota"
587,-0.344337995730318,-0.405498535677804,0.385622844337777,0.269985267214859,4.79,3.87,NA,"Clavaria","Clavariaceae","Agaricomycetes","Agaricales","Basidiomycota"
453,-0.447109110444337,-0.502764486167568,0.384786058578442,0.334249184005351,6.69,4.58,2.6,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
141,-0.154439665098696,0.170835895590449,0.383485636873799,0.519679835040824,1.69,2.2,2.21,NA,NA,"Leotiomycetes","Helotiales","Ascomycota"
636,-0.398971605273137,-0.30501209646664,0.382486879789521,0.429224727667191,3.21,NA,1.39,NA,NA,NA,NA,NA
685,-0.344662938470374,-0.17378539754563,0.379928199168301,0.32824618364362,2.17,NA,1.61,NA,NA,NA,NA,"Mortierellomycota"
579,-0.302918368715562,-0.247843352624967,0.378975905181479,0.421956361560111,6.24,4.4,4.24,NA,NA,NA,NA,NA
573,-0.398551690338533,-0.383705020284467,0.375482818257516,0.128385032058432,4.69,NA,NA,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
625,-0.202263537424245,-0.107579090202725,0.374327435111638,NA,2.71,NA,3.32,"Glomus","Glomeraceae","Glomeromycetes","Glomerales","Glomeromycota"
659,-0.315983930654353,-0.254154368645831,0.373958073270125,0.377374291415201,4.02,2.08,3.85,"Mortierella","Mortierellaceae","Mortierellomycetes","Mortierellales","Mortierellomycota"
612,-0.357677255893412,-0.236099143574999,0.370231058940987,0.305300299237256,4.29,NA,NA,"Clavulinopsis","Clavariaceae","Agaricomycetes","Agaricales","Basidiomycota"
145,-0.532562394415646,-0.439800993793566,0.370050708328322,0.239510152758252,3.7,NA,3.04,"Naganishia","Filobasidiaceae","Tremellomycetes","Filobasidiales","Basidiomycota"
149,-0.414990910763315,-0.303671479864727,0.364509363920184,0.176433497508682,4.01,2.71,3,"Venturia","Venturiaceae","Dothideomycetes","Venturiales","Ascomycota"
351,-0.371394967710867,-0.0751488821056639,0.364106528742996,0.331134629415806,4.73,3.43,NA,"Tetracladium","Helotiaceae","Leotiomycetes","Helotiales","Ascomycota"
475,-0.360252477350093,-0.343928884287355,0.363524904625839,0.305300299237256,2.94,NA,2.4,"Mycocentrospora","Mycosphaerellaceae","Dothideomycetes","Capnodiales","Ascomycota"
623,-0.242795501372163,-0.271011437590231,0.362755136017589,0.366304532371211,2.84,NA,3.19,"Glomus","Glomeraceae","Glomeromycetes","Glomerales","Glomeromycota"
278,-0.305595217363545,-0.290856837574529,0.361549781733541,0.458968875603479,4.82,NA,NA,NA,NA,"Agaricomycetes",NA,"Basidiomycota"
467,-0.392674225335384,-0.364433969804255,0.356066928881091,0.347802142503542,3.78,NA,3.09,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
94,-0.376785808938906,-0.31033456244933,0.355288449250006,0.307985002066226,5.46,NA,NA,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
498,-0.321374954238472,-0.429775317690397,0.355129206242644,0.304208236114393,3.41,NA,4.11,NA,"Glomeraceae","Glomeromycetes","Glomerales","Glomeromycota"
524,-0.26055702932603,-0.168849286716283,0.353867934497885,0.440364843752732,3.96,NA,2.48,NA,NA,"Leotiomycetes",NA,"Ascomycota"
75,-0.486295229460428,-0.455888139574074,0.348369904207771,-0.0477175635760512,3.77,NA,NA,"Alatospora","Leotiaceae","Leotiomycetes","Helotiales","Ascomycota"
155,-0.333157920905524,-0.261550751694299,0.348050866786507,-0.148188424975498,3.9,1.39,NA,NA,NA,NA,NA,NA
208,-0.374172776003734,-0.331945149038596,0.345047505989036,NA,4.25,NA,NA,"Heterosphaeria","Helotiaceae","Leotiomycetes","Helotiales","Ascomycota"
581,-0.306581698783534,-0.183994244986173,0.343500250125969,0.346852889929558,4.45,NA,1.61,"Clavaria","Clavariaceae","Agaricomycetes","Agaricales","Basidiomycota"
290,-0.166073765522874,-0.00497975469775168,0.343383283278932,0.0117607508201387,3.74,3.06,4.6,NA,NA,"Dothideomycetes","Pleosporales","Ascomycota"
