"community","direction","n_taxa","correlation","confidence_interval_lower","confidence_interval_upper","statistic","degrees_of_freedom","p_value"
"Plants","Warming",65,0.749853896657751,0.619199349248797,0.840106941982597,8.99599409887491,63,6.57915575841208e-13
"Plants","Cooling",58,0.774970636039572,0.645982172689756,0.860932199751735,9.17622550991421,56,9.37179548481646e-13
"Fungi","Warming",669,0.869385084659468,0.849570929989038,0.88674917138014,45.4390589805066,667,2.21525374814252e-206
"Fungi","Cooling",684,0.832988443388767,0.808510861056804,0.85458869342929,39.3167886722339,682,1.81134634142631e-177
"Bacteria/Archaea","Warming",1620,0.909698757139395,0.900910791110945,0.917741067690425,88.1165659029012,1618,0
"Bacteria/Archaea","Cooling",1612,-0.407773746895899,-0.447683940958077,-0.366242148904656,-17.9193371637412,1610,1.2829699701178e-65
