"ASV_id","warmed_bacteria_gradient","warmed_bacteria","cooled_bacteria_gradient","cooled_bacteria","High Control","Low Control","Mid Control","Genus","Family","Phylum","Class","Order"
"272",-0.12,0.02,0.18,-0.06,3.26,3.4,3.98,NA,"Roseiflexaceae","Chloroflexi","Chloroflexia","Chloroflexales"
"1146",-0.14,0,0.18,-0.39,4.11,3.79,4.1,"Bryobacter","Bryobacteraceae","Acidobacteria","Acidobacteriae","Bryobacterales"
"1486",-0.01,0.25,0.18,-0.2,3.63,4.22,4.27,"Modestobacter","Geodermatophilaceae","Actinobacteria","Actinobacteria","Frankiales"
"1046",-0.09,-0.07,0.18,-0.16,3.69,NA,3.99,"RB41","Pyrinomonadaceae","Acidobacteria","Blastocatellia","Pyrinomonadales"
"422",-0.15,-0.06,0.18,-0.28,6.38,6.14,6.21,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"1157",-0.29,-0.19,0.18,-0.39,3.64,3.19,3.29,"Candidatus Solibacter","Solibacteraceae","Acidobacteria","Acidobacteriae","Solibacterales"
"453",-0.11,-0.01,0.18,-0.17,3.52,NA,NA,"Chthoniobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"1361",-0.18,0,0.18,0.06,3.23,2.05,3.13,NA,NA,"Acidobacteria","Blastocatellia","DS-100"
"361",-0.26,-0.19,0.18,-0.22,3.89,2.74,3.17,NA,NA,"Proteobacteria","Gammaproteobacteria","JG36-TzT-191"
"741",-0.21,-0.13,0.18,-0.21,4.08,3.67,3.33,NA,NA,"Proteobacteria","Alphaproteobacteria",NA
"809",0.11,0.19,0.18,0.17,2.88,4.92,2.94,NA,"KD3-93","Bacteroidota","Bacteroidia","Sphingobacteriales"
"107",-0.23,-0.2,0.18,-0.17,4.04,3.67,3.39,NA,"Pirellulaceae","Planctomycetota","Planctomycetes","Pirellulales"
"110",-0.3,-0.47,0.18,-0.2,4.27,3.5,NA,"Gemmata","Gemmataceae","Planctomycetota","Planctomycetes","Gemmatales"
"138",-0.08,0.02,0.18,0.01,3.28,NA,NA,NA,"Gemmataceae","Planctomycetota","Planctomycetes","Gemmatales"
"220",-0.08,0.12,0.18,-0.15,4.29,NA,3.83,NA,"Micromonosporaceae","Actinobacteria","Actinobacteria","Micromonosporales"
"376",-0.36,-0.16,0.18,-0.46,3.72,3.18,3.35,"Anaeromyxobacter","Anaeromyxobacteraceae","Myxococcota","Myxococcia","Myxococcales"
"883",-0.18,-0.05,0.18,0.03,4.68,3.64,4.39,"Sphingomonas","Sphingomonadaceae","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"173",-0.11,-0.02,0.17,-0.28,2.38,2.07,2.62,NA,"env.OPS 17","Bacteroidota","Bacteroidia","Sphingobacteriales"
"1646",-0.16,-0.08,0.17,-0.24,3.33,NA,2.74,NA,"Microscillaceae","Bacteroidota","Bacteroidia","Cytophagales"
"623",-0.27,-0.19,0.17,-0.21,4.56,4.03,3.99,NA,"Xanthobacteraceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"877",0.08,0.11,0.17,NA,3.4,NA,3.04,"Sphingomonas","Sphingomonadaceae","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"736",-0.2,-0.28,0.17,-0.07,3.66,2.94,3.95,"Bauldia","Rhizobiales Incertae Sedis","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"553",-0.12,-0.02,0.17,-0.26,5.48,5.25,5.23,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"277",-0.25,-0.24,0.17,-0.07,5.43,3.33,5.57,NA,NA,"Cyanobacteria","Cyanobacteriia","Chloroplast"
"644",-0.01,0.1,0.17,-0.23,2.66,2.29,2.76,"Methylobacterium-Methylorubrum","Beijerinckiaceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"112",-0.25,-0.22,0.17,-0.22,3.73,3.64,3.52,"Gemmata","Gemmataceae","Planctomycetota","Planctomycetes","Gemmatales"
"953",-0.21,-0.12,0.17,-0.13,2.95,2.73,2.94,NA,"Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"1052",-0.12,-0.13,0.17,0.08,3.93,3.91,3.99,"RB41","Pyrinomonadaceae","Acidobacteria","Blastocatellia","Pyrinomonadales"
"1599",0.11,0.15,0.17,-0.08,3.5,NA,NA,NA,"Pseudonocardiaceae","Actinobacteria","Actinobacteria","Pseudonocardiales"
"19",-0.03,0.15,0.17,-0.3,4.03,3.65,4.41,"Acidothermus","Acidothermaceae","Actinobacteria","Actinobacteria","Frankiales"
"235",-0.17,0.05,0.17,0.01,4.35,4.19,4.48,NA,NA,"Acidobacteria","Acidobacteriae","Subgroup 2"
"45",-0.11,-0.1,0.17,0.06,3.95,NA,NA,NA,"WD2101 soil group","Planctomycetota","Phycisphaerae","Tepidisphaerales"
"1105",-0.21,-0.09,0.17,-0.24,4.94,5.03,5.01,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"480",-0.2,-0.14,0.17,-0.26,4.48,4.14,3.87,"Chthoniobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"111",0.05,0.3,0.17,-0.13,3.26,3.76,3.89,"Gemmata","Gemmataceae","Planctomycetota","Planctomycetes","Gemmatales"
"996",-0.26,-0.25,0.17,0,3.75,3.65,3.87,"Gemmatimonas","Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"121",-0.05,0.09,0.17,-0.2,NA,NA,4.01,NA,"Pirellulaceae","Planctomycetota","Planctomycetes","Pirellulales"
"244",-0.31,-0.22,0.17,-0.44,2.81,2.9,2.99,NA,NA,NA,NA,NA
"666",-0.12,-0.03,0.17,-0.01,2.71,NA,3.26,NA,"Acetobacteraceae","Proteobacteria","Alphaproteobacteria","Acetobacterales"
"233",-0.11,0.05,0.17,-0.42,3.15,3.22,3.82,NA,NA,"Acidobacteria","Acidobacteriae","Subgroup 2"
"1256",0.08,0.26,0.17,-0.2,NA,NA,3.87,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"1154",-0.03,0.08,0.17,-0.14,3.21,2.71,2.98,"Candidatus Solibacter","Solibacteraceae","Acidobacteria","Acidobacteriae","Solibacterales"
"1138",-0.14,0.13,0.17,-0.39,4.06,4.32,4.78,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"866",-0.26,-0.23,0.16,-0.2,4.54,3.75,3.69,NA,"Methyloligellaceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"1262",-0.1,0.09,0.16,-0.3,4.22,4.82,4.96,"Conexibacter","Solirubrobacteraceae","Actinobacteria","Thermoleophilia","Solirubrobacterales"
"323",-0.33,-0.28,0.16,-0.18,4.32,4.06,4.11,"Pseudomonas","Pseudomonadaceae","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"368",-0.26,-0.12,0.16,-0.29,3.45,2.73,2.55,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"709",-0.09,-0.02,0.16,NA,3.14,NA,3.89,"Microvirga","Beijerinckiaceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"977",-0.16,-0.12,0.16,-0.32,3.93,NA,1.95,NA,NA,"Desulfobacterota",NA,NA
"633",0.12,0.29,0.16,NA,NA,NA,4.78,"Rhodoplanes","Xanthobacteraceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"1309",0,0.15,0.16,NA,NA,NA,4.52,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"867",0.19,0.36,0.16,NA,NA,NA,3.97,"Sphingomonas","Sphingomonadaceae","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"569",-0.12,-0.02,0.16,-0.01,NA,NA,3.7,"Haliangium","Haliangiaceae","Myxococcota","Polyangia","Haliangiales"
"53",-0.28,-0.24,0.16,-0.31,4.54,3.24,3.38,NA,NA,"Methylomirabilota","Methylomirabilia","Rokubacteriales"
"370",-0.1,-0.16,0.16,0.01,3.44,3.14,3.26,"Gemmatimonas","Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"993",-0.4,-0.42,0.16,-0.3,4.43,3.11,3.67,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"317",0.04,0.2,0.16,-0.12,3.66,4.4,4.19,NA,NA,"Acidobacteria","Holophagae","Subgroup 7"
"1078",-0.1,0.09,0.16,-0.27,3.87,3.36,3.84,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"654",-0.22,-0.12,0.16,-0.04,4.05,3.75,4.23,"Bradyrhizobium","Xanthobacteraceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"52",-0.32,-0.26,0.16,-0.38,4.64,3.97,3.93,NA,NA,"Methylomirabilota","Methylomirabilia","Rokubacteriales"
"1495",-0.05,0.02,0.16,-0.05,4.13,4.37,3.37,NA,NA,"Actinobacteria","Actinobacteria","Frankiales"
"980",-0.19,-0.17,0.16,-0.24,3.98,3.96,4.33,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"1658",-0.15,0.02,0.16,-0.32,4.48,4.24,4.99,NA,NA,"Chloroflexi","KD4-96",NA
"1215",0,0.15,0.16,-0.06,NA,NA,3.73,NA,"67-14","Actinobacteria","Thermoleophilia","Solirubrobacterales"
"679",-0.15,-0.11,0.16,-0.4,4.86,4.51,4.39,"Pseudolabrys","Xanthobacteraceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"612",-0.14,-0.01,0.16,-0.28,5.26,4.6,5.14,NA,"Xanthobacteraceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"436",-0.21,-0.12,0.16,-0.3,5.24,4.5,5.02,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"90",0.01,0.14,0.16,-0.06,3.53,NA,3.32,NA,"WD2101 soil group","Planctomycetota","Phycisphaerae","Tepidisphaerales"
"139",-0.24,-0.16,0.16,-0.39,3.78,2.89,3.37,"Fimbriiglobus","Gemmataceae","Planctomycetota","Planctomycetes","Gemmatales"
"1322",0.02,0.17,0.16,-0.05,3.43,NA,3.47,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"1144",0.08,0.19,0.16,-0.08,3.33,3.3,3.53,NA,NA,"Chloroflexi","Ktedonobacteria","C0119"
"421",-0.13,-0.06,0.15,-0.14,3.33,3.21,3.45,NA,"Pedosphaeraceae","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales"
"1123",-0.13,0,0.15,-0.19,4.93,4.58,4.95,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"812",-0.15,-0.15,0.15,-0.19,3.48,3.88,NA,"Mucilaginibacter","Sphingobacteriaceae","Bacteroidota","Bacteroidia","Sphingobacteriales"
"458",-0.29,-0.21,0.15,0.08,3.84,NA,4.09,"Chthoniobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"1352",-0.16,0,0.15,-0.39,3.84,3.3,3.49,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"1577",-0.07,0.1,0.15,-0.17,2.99,2.67,3.3,"MND1","Nitrosomonadaceae","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"929",-0.09,NA,0.15,-0.2,NA,NA,3.97,"Puia","Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"1103",-0.3,-0.21,0.15,-0.35,5.57,4.82,5.2,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"1508",0.01,0.17,0.15,0.06,3.56,3.89,3.95,"Nocardioides","Nocardioidaceae","Actinobacteria","Actinobacteria","Propionibacteriales"
"713",-0.27,-0.14,0.15,-0.02,4.02,3.2,3.66,"Mesorhizobium","Rhizobiaceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"25",0.04,0.22,0.15,-0.11,3.09,NA,2.79,"Iamia","Iamiaceae","Actinobacteria","Acidimicrobiia","Microtrichales"
"944",-0.26,-0.19,0.15,-0.26,3.12,3.04,3.56,"Terrimonas","Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"400",-0.08,-0.01,0.15,-0.16,4.77,4.08,4.43,NA,NA,"Acidobacteria","Acidobacteriae","Acidobacteriales"
"789",-0.27,-0.16,0.15,-0.27,4.21,3.88,3.91,NA,NA,"Acidobacteria","Acidobacteriae","Acidobacteriales"
"606",-0.24,-0.12,0.15,-0.13,3.92,3.7,3.81,NA,NA,"Proteobacteria","Alphaproteobacteria","Elsterales"
"1426",-0.33,-0.24,0.15,-0.12,4.41,NA,3.89,"Rhizobacter","Comamonadaceae","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"432",-0.22,-0.17,0.15,-0.16,4.34,3.61,4.38,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"1015",-0.05,-0.01,0.15,-0.24,3.66,NA,NA,"Gemmatimonas","Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"905",-0.01,0.1,0.15,-0.14,2.89,3.53,2.99,NA,"Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"824",0,0.18,0.15,-0.08,NA,NA,4.16,"Mucilaginibacter","Sphingobacteriaceae","Bacteroidota","Bacteroidia","Sphingobacteriales"
"342",0.08,0.24,0.15,-0.31,NA,NA,3.73,NA,NA,"Acidobacteria","Acidobacteriae","Acidobacteriales"
"190",-0.19,-0.07,0.15,-0.22,3.13,2.56,3.74,NA,NA,"Gemmatimonadota","S0134 terrestrial group",NA
"737",-0.02,0.09,0.15,0.22,3.49,3.3,4.11,"Bauldia","Rhizobiales Incertae Sedis","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"136",0.11,0.26,0.15,0.06,NA,NA,4.06,NA,"Isosphaeraceae","Planctomycetota","Planctomycetes","Isosphaerales"
"1257",-0.17,-0.15,0.15,-0.27,3.54,3.19,NA,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"1618",-0.31,-0.23,0.15,-0.27,4.1,3.97,3.99,NA,NA,"Chloroflexi","KD4-96",NA
"874",-0.05,0.06,0.15,-0.16,4.85,4.69,4.77,"Sphingomonas","Sphingomonadaceae","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"1111",-0.15,-0.01,0.15,-0.12,4.57,4.13,4.43,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"748",-0.27,-0.12,0.14,-0.15,3.11,2.94,3.16,"Nordella","Rhizobiales Incertae Sedis","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"1249",0,0.21,0.14,-0.31,3.46,3.46,3.76,NA,"67-14","Actinobacteria","Thermoleophilia","Solirubrobacterales"
"1149",-0.18,0.04,0.14,-0.01,2.93,2.58,2.91,NA,NA,"Acidobacteria","Acidobacteriae","Paludibaculum"
"294",-0.26,-0.21,0.14,-0.2,3.71,NA,NA,NA,NA,"Acidobacteria","Holophagae","Subgroup 7"
"283",-0.08,0.11,0.14,-0.22,NA,NA,3.61,NA,NA,"Acidobacteria","Holophagae","Subgroup 7"
"768",-0.17,-0.18,0.14,-0.06,3.38,2.64,3.14,"Nitrospira","Nitrospiraceae","Nitrospirota","Nitrospiria","Nitrospirales"
"550",-0.3,-0.29,0.14,-0.22,3.87,3.47,4.41,NA,NA,"Acidobacteria","Vicinamibacteria","Subgroup 17"
"627",-0.26,-0.17,0.14,-0.26,4.39,4.09,4.55,"Rhodoplanes","Xanthobacteraceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"1389",-0.04,0.07,0.14,-0.21,2.79,2.63,3.83,NA,"Ktedonobacteraceae","Chloroflexi","Ktedonobacteria","Ktedonobacterales"
"1047",-0.11,0.06,0.14,-0.13,3.82,NA,3.55,"RB41","Pyrinomonadaceae","Acidobacteria","Blastocatellia","Pyrinomonadales"
"1304",-0.27,-0.27,0.14,-0.27,2.95,NA,3.67,"Gaiella","Gaiellaceae","Actinobacteria","Thermoleophilia","Gaiellales"
"510",-0.07,-0.17,0.14,0.03,3.84,4.25,4.08,"Chthoniobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"1050",0.01,0.17,0.14,NA,NA,NA,4.07,"RB41","Pyrinomonadaceae","Acidobacteria","Blastocatellia","Pyrinomonadales"
"700",-0.08,0,0.14,-0.12,3.33,3.7,3.48,NA,"Caulobacteraceae","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"519",-0.12,0,0.14,-0.31,5.42,4.72,5.13,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"156",-0.02,0.08,0.14,-0.04,3.42,3.31,2.5,NA,"Gemmataceae","Planctomycetota","Planctomycetes","Gemmatales"
"311",-0.31,-0.28,0.14,-0.22,4.22,NA,4.5,NA,NA,"Acidobacteria","Holophagae","Subgroup 7"
"1183",-0.28,-0.25,0.14,-0.26,3.76,3.39,3.83,"Candidatus Solibacter","Solibacteraceae","Acidobacteria","Acidobacteriae","Solibacterales"
"1661",-0.26,-0.22,0.14,-0.18,3.05,2.08,3.16,NA,NA,"Chloroflexi","P2-11E",NA
"1035",-0.18,-0.03,0.14,-0.31,3.94,3.11,3.26,"RB41","Pyrinomonadaceae","Acidobacteria","Blastocatellia","Pyrinomonadales"
"1312",-0.04,0.12,0.14,-0.33,3.73,3.8,4.3,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"298",-0.1,0.04,0.14,-0.33,3.61,3.09,3.56,NA,NA,"Acidobacteria","Holophagae","Subgroup 7"
"670",0.07,0.09,0.14,-0.24,3.22,NA,NA,"Acidiphilium","Acetobacteraceae","Proteobacteria","Alphaproteobacteria","Acetobacterales"
"994",0.15,0.29,0.14,-0.01,NA,NA,2.88,"Roseisolibacter","Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"1243",-0.05,0.09,0.14,-0.31,NA,NA,3.93,NA,NA,"Chloroflexi","AD3",NA
"570",-0.27,-0.22,0.14,-0.25,3.71,3.08,3.33,"Haliangium","Haliangiaceae","Myxococcota","Polyangia","Haliangiales"
"1182",-0.07,0.02,0.14,0.09,NA,NA,3.7,"Candidatus Solibacter","Solibacteraceae","Acidobacteria","Acidobacteriae","Solibacterales"
"469",-0.07,0.02,0.14,-0.1,5.2,4.73,4.88,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"547",-0.1,0.03,0.14,-0.08,2.93,3.22,2.58,NA,NA,"Acidobacteria","Vicinamibacteria","Subgroup 17"
"1343",-0.04,-0.01,0.14,-0.18,3.73,3.8,3.37,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"1080",-0.26,-0.2,0.13,-0.29,4.26,3.62,4.12,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"504",-0.02,0.09,0.13,-0.15,3.74,NA,3.93,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"721",0.11,0.26,0.13,0.06,NA,NA,3.52,NA,"Micropepsaceae","Proteobacteria","Alphaproteobacteria","Micropepsales"
"1148",-0.17,-0.15,0.13,-0.25,3.73,3.42,3.62,"Bryobacter","Bryobacteraceae","Acidobacteria","Acidobacteriae","Bryobacterales"
"116",-0.03,0.09,0.13,NA,NA,NA,3.67,"Zavarzinella","Gemmataceae","Planctomycetota","Planctomycetes","Gemmatales"
"252",-0.04,0.09,0.13,-0.08,NA,NA,3.64,NA,"Mitochondria","Proteobacteria","Alphaproteobacteria","Rickettsiales"
"202",-0.2,-0.04,0.13,-0.15,3.87,NA,4.79,"Actinoplanes","Micromonosporaceae","Actinobacteria","Actinobacteria","Micromonosporales"
"1399",-0.12,-0.01,0.13,-0.07,NA,NA,3.66,NA,NA,"Actinobacteria","Thermoleophilia",NA
"459",-0.3,-0.22,0.13,-0.19,3.72,3.26,3.96,"Chthoniobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"1617",-0.17,-0.09,0.13,-0.37,5.26,5.01,4.89,NA,NA,"Chloroflexi","KD4-96",NA
"1124",-0.06,0.06,0.13,-0.06,3.69,3.75,4.43,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"1434",-0.26,-0.26,0.13,-0.16,3.53,NA,NA,"Xylophilus","Comamonadaceae","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"211",0.07,0.05,0.13,-0.14,4.43,2.91,3.92,"Asanoa","Micromonosporaceae","Actinobacteria","Actinobacteria","Micromonosporales"
"446",-0.2,-0.13,0.13,-0.29,3.88,3.58,3.73,NA,"WD2101 soil group","Planctomycetota","Phycisphaerae","Tepidisphaerales"
"1380",-0.22,-0.15,0.13,-0.35,3.67,3.41,3.4,"HSB OF53-F07","Ktedonobacteraceae","Chloroflexi","Ktedonobacteria","Ktedonobacterales"
"792",-0.01,0.05,0.13,0.01,3.4,NA,3.5,"Granulicella","Acidobacteriaceae (Subgroup 1)","Acidobacteria","Acidobacteriae","Acidobacteriales"
"522",-0.34,-0.29,0.13,-0.19,4.05,NA,3.43,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"799",0.01,0.08,0.13,-0.13,3.02,3.6,3.54,"Occallatibacter","Acidobacteriaceae (Subgroup 1)","Acidobacteria","Acidobacteriae","Acidobacteriales"
"275",-0.1,NA,0.13,-0.23,NA,NA,4.05,NA,NA,"Cyanobacteria","Cyanobacteriia","Chloroplast"
"695",-0.16,-0.04,0.13,-0.33,4.13,3.47,3.99,"Phenylobacterium","Caulobacteraceae","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"1002",-0.36,-0.36,0.13,-0.28,3.27,NA,4.26,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"1288",-0.1,0.01,0.13,-0.29,3.58,3.53,4.19,"Conexibacter","Solirubrobacteraceae","Actinobacteria","Thermoleophilia","Solirubrobacterales"
"468",-0.23,-0.22,0.13,-0.29,5.98,5.45,5.35,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"105",0.11,0.22,0.13,-0.04,NA,NA,3.84,"Nitrospira","Nitrospiraceae","Nitrospirota","Nitrospiria","Nitrospirales"
"1020",-0.12,-0.15,0.13,-0.14,3.81,NA,NA,"Gemmatimonas","Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"373",-0.24,-0.09,0.13,-0.3,4.12,4.01,4.17,"Gemmatimonas","Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"299",-0.02,0.01,0.13,-0.22,3.92,3.55,4.84,NA,NA,"Acidobacteria","Holophagae","Subgroup 7"
"315",-0.11,-0.06,0.13,0.01,3.01,NA,NA,"Vicinamibacter","Vicinamibacteraceae","Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"512",-0.01,0.11,0.13,0,4.7,4.66,4.18,"Chthoniobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"1402",-0.07,0.13,0.13,-0.26,3.76,3.09,3.62,NA,NA,"Actinobacteria","Thermoleophilia",NA
"954",-0.06,-0.02,0.13,-0.19,2.46,2.1,2.28,NA,NA,"Bacteroidota","Bacteroidia","Chitinophagales"
"1204",-0.12,-0.11,0.13,-0.32,3.72,3.8,3.49,NA,"67-14","Actinobacteria","Thermoleophilia","Solirubrobacterales"
"526",-0.22,-0.06,0.13,-0.24,5.33,4.94,4.81,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"592",-0.02,0.01,0.13,-0.16,3.37,3.14,3.44,NA,"URHD0088","Proteobacteria","Alphaproteobacteria","Elsterales"
"1558",-0.33,-0.28,0.13,-0.02,4.22,NA,NA,"Ellin6067","Nitrosomonadaceae","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"629",-0.1,-0.13,0.13,-0.3,3.78,3.58,NA,NA,"Xanthobacteraceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"442",-0.07,0.03,0.12,-0.29,6.09,6.01,6.11,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"1578",-0.1,-0.04,0.12,-0.2,3.62,3.33,3.73,"MND1","Nitrosomonadaceae","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"217",-0.01,0.11,0.12,-0.18,NA,2.94,3.37,NA,"Micromonosporaceae","Actinobacteria","Actinobacteria","Micromonosporales"
"1118",-0.35,-0.32,0.12,-0.26,3.76,3.78,3.5,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"1194",0.03,0.15,0.12,0.2,NA,2.94,3.43,"Stenotrophobacter","Blastocatellaceae","Acidobacteria","Blastocatellia","Blastocatellales"
"478",-0.05,-0.05,0.12,-0.03,3.22,3.09,2.77,"Chthoniobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"1593",-0.11,-0.1,0.12,0.18,3.5,3.17,3.61,"Pseudonocardia","Pseudonocardiaceae","Actinobacteria","Actinobacteria","Pseudonocardiales"
"1033",-0.33,-0.35,0.12,-0.25,3.22,2.52,2.91,NA,NA,"Latescibacterota",NA,NA
"4",-0.19,-0.18,0.12,-0.35,3.57,3.74,NA,NA,"Anaerolineaceae","Chloroflexi","Anaerolineae","Anaerolineales"
"1358",0.02,0.07,0.12,-0.12,2.8,2.93,3.64,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"1172",-0.08,0.03,0.12,-0.16,4.02,3.98,3.95,"Bryobacter","Bryobacteraceae","Acidobacteria","Acidobacteriae","Bryobacterales"
"562",-0.1,0.02,0.12,-0.43,3.27,NA,3.26,"Haliangium","Haliangiaceae","Myxococcota","Polyangia","Haliangiales"
"1042",-0.24,-0.12,0.12,-0.32,3.99,4.3,4.38,"RB41","Pyrinomonadaceae","Acidobacteria","Blastocatellia","Pyrinomonadales"
"387",-0.43,-0.38,0.12,-0.18,4.32,NA,4.25,NA,NA,"Acidobacteria","Acidobacteriae","Acidobacteriales"
"1527",-0.21,-0.07,0.12,-0.11,3.24,2.3,2.93,"MND1","Nitrosomonadaceae","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"945",-0.22,-0.16,0.12,-0.17,3.48,3.81,NA,"Terrimonas","Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"134",-0.19,-0.18,0.12,-0.28,3.27,3.37,3.35,NA,"Isosphaeraceae","Planctomycetota","Planctomycetes","Isosphaerales"
"673",-0.13,-0.04,0.12,-0.24,3.47,2.48,3.43,NA,"Acetobacteraceae","Proteobacteria","Alphaproteobacteria","Acetobacterales"
"1344",-0.13,-0.01,0.12,-0.12,4.06,3.69,3.8,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"917",-0.01,0.16,0.12,0.09,NA,NA,3.81,"Segetibacter","Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"269",0.1,0.1,0.12,-0.2,3.63,2.91,3.62,NA,"Roseiflexaceae","Chloroflexi","Chloroflexia","Chloroflexales"
