"ASV_id","warmed_bacteria_gradient","warmed_bacteria","cooled_bacteria_gradient","cooled_bacteria","High Control","Low Control","Mid Control","Genus","Family","Phylum","Class","Order"
"1663",-0.5,-0.45,0.43,-0.15,3.39,NA,1.59,NA,"Mitochondria","Proteobacteria","Alphaproteobacteria","Rickettsiales"
"89",-0.49,-0.36,0.42,-0.21,3.88,NA,4.33,NA,"WD2101 soil group","Planctomycetota","Phycisphaerae","Tepidisphaerales"
"976",-0.23,-0.03,0.42,-0.17,3,2.4,3.23,NA,NA,"Bacteroidota","Bacteroidia","Cytophagales"
"95",-0.21,0.03,0.42,-0.2,3.47,NA,3.45,NA,"WD2101 soil group","Planctomycetota","Phycisphaerae","Tepidisphaerales"
"637",-0.34,-0.13,0.42,-0.34,4.15,2.94,4.45,"Rhodoplanes","Xanthobacteraceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"331",-0.47,-0.45,0.42,-0.25,4.17,NA,3.5,NA,NA,"Proteobacteria","Gammaproteobacteria","JG36-TzT-191"
"10",-0.51,-0.45,0.42,-0.36,3.73,NA,3.14,NA,NA,"Latescibacterota",NA,NA
"1560",-0.31,-0.14,0.42,-0.31,5.09,4.14,4.56,"Ellin6067","Nitrosomonadaceae","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"65",-0.28,-0.2,0.42,-0.23,3.12,3.56,2.32,NA,"Sandaracinaceae","Myxococcota","Polyangia","Polyangiales"
"1057",-0.4,-0.25,0.41,-0.2,4.77,NA,4.39,"RB41","Pyrinomonadaceae","Acidobacteria","Blastocatellia","Pyrinomonadales"
"1024",-0.35,-0.27,0.41,-0.3,3.98,3.99,4.53,"Gemmatimonas","Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"1159",-0.33,-0.21,0.41,-0.28,4.31,NA,4.25,"Candidatus Solibacter","Solibacteraceae","Acidobacteria","Acidobacteriae","Solibacterales"
"610",-0.3,-0.14,0.41,-0.28,3.61,2.89,3.42,"Variibacter","Xanthobacteraceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"1058",-0.38,-0.29,0.41,0.01,4.43,NA,4.61,"RB41","Pyrinomonadaceae","Acidobacteria","Blastocatellia","Pyrinomonadales"
"300",-0.41,-0.34,0.41,-0.12,3.36,NA,3.24,"Vicinamibacter","Vicinamibacteraceae","Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"865",-0.47,-0.37,0.41,-0.36,3.5,NA,2.59,NA,NA,"Acidobacteria","Subgroup 22",NA
"328",-0.32,-0.13,0.41,-0.15,3.57,NA,4.08,"Acidibacter","Unknown Family","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis"
"1030",-0.3,-0.28,0.41,0.06,3.4,NA,NA,NA,NA,"Desulfobacterota",NA,NA
"1404",-0.28,-0.11,0.41,0,4.24,4.55,4.56,"Solirubrobacter","Solirubrobacteraceae","Actinobacteria","Thermoleophilia","Solirubrobacterales"
"1114",-0.25,0,0.4,-0.27,3.86,3.37,4.11,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"1059",-0.37,-0.29,0.4,-0.24,3.93,NA,3.27,"RB41","Pyrinomonadaceae","Acidobacteria","Blastocatellia","Pyrinomonadales"
"645",-0.29,-0.09,0.4,-0.26,4.11,3.58,4.19,"Microvirga","Beijerinckiaceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"961",-0.31,-0.09,0.4,-0.27,3.83,1.61,3.1,NA,NA,"Bacteroidota","Bacteroidia","Chitinophagales"
"595",-0.42,-0.33,0.4,-0.12,3.73,3.14,3.89,"Dongia","Dongiaceae","Proteobacteria","Alphaproteobacteria","Dongiales"
"733",-0.5,-0.46,0.4,-0.21,3.74,NA,3.64,NA,"Micropepsaceae","Proteobacteria","Alphaproteobacteria","Micropepsales"
"1032",-0.42,-0.28,0.4,-0.42,3.96,2.4,2.96,NA,NA,"Latescibacterota",NA,NA
"1134",-0.29,-0.09,0.4,-0.31,4.62,4.58,4.58,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"367",-0.38,-0.19,0.4,-0.2,3.88,3.89,3.83,"Roseisolibacter","Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"281",-0.32,-0.2,0.4,-0.35,3.24,NA,2.67,NA,"WD2101 soil group","Planctomycetota","Phycisphaerae","Tepidisphaerales"
"1126",-0.29,-0.16,0.4,-0.18,3.15,2.94,3.91,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"1272",-0.41,-0.31,0.4,-0.23,3.1,NA,3.65,NA,"67-14","Actinobacteria","Thermoleophilia","Solirubrobacterales"
"650",-0.39,-0.3,0.39,-0.24,4.74,NA,4.79,"Afipia","Xanthobacteraceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
