"species","score.x","label.x","Time.x","Treatment.x","Response.x","X.x","community.x","score.y","label.y","Time.y","Treatment.y","Response.y","X.y","community.y"
"Polygonum douglasii","Species","Polygonum douglasii",NA,NA,0.00514524710726285,1,"warmed_plants_gradient","Species","Polygonum douglasii",NA,NA,0.444892397469176,1,"cooled_plants_gradient"
"Veratrum californicum","Species","Veratrum californicum",NA,NA,0.0585312101901583,1,"warmed_plants_gradient",NA,NA,NA,NA,NA,NA,NA
"Erigeron elatior","Species","Erigeron elatior",NA,NA,0.118290675330403,1,"warmed_plants_gradient","Species","Erigeron elatior",NA,NA,-0.106686986958481,1,"cooled_plants_gradient"
"Heliomeris multiflora","Species","Heliomeris multiflora",NA,NA,0.155137777368802,1,"warmed_plants_gradient","Species","Heliomeris multiflora",NA,NA,-0.0350647601306658,1,"cooled_plants_gradient"
"Thalictrum fendleri","Species","Thalictrum fendleri",NA,NA,0.16541207035874,1,"warmed_plants_gradient","Species","Thalictrum fendleri",NA,NA,-0.147734610513747,1,"cooled_plants_gradient"
"Boechera stricta","Species","Boechera stricta",NA,NA,0.166972824483083,1,"warmed_plants_gradient","Species","Boechera stricta",NA,NA,0.00432672123039504,1,"cooled_plants_gradient"
"Campanula rotundifolia","Species","Campanula rotundifolia",NA,NA,0.192512384260283,1,"warmed_plants_gradient","Species","Campanula rotundifolia",NA,NA,0.139811001991775,1,"cooled_plants_gradient"
"Claytonia lanceolata","Species","Claytonia lanceolata",NA,NA,0.223610824056,1,"warmed_plants_gradient","Species","Claytonia lanceolata",NA,NA,0.225699565583271,1,"cooled_plants_gradient"
"Linum lewisii","Species","Linum lewisii",NA,NA,0.264881040486382,1,"warmed_plants_gradient","Species","Linum lewisii",NA,NA,0.171859695936577,1,"cooled_plants_gradient"
"Galium coloradoense","Species","Galium coloradoense",NA,NA,0.277142852545265,1,"warmed_plants_gradient","Species","Galium coloradoense",NA,NA,0.225699565583271,1,"cooled_plants_gradient"
"Lithophragma glabrum","Species","Lithophragma glabrum",NA,NA,0.287886871471739,1,"warmed_plants_gradient","Species","Lithophragma glabrum",NA,NA,0.225699565583271,1,"cooled_plants_gradient"
"Bromus carinatus","Species","Bromus carinatus",NA,NA,0.290963259274755,1,"warmed_plants_gradient","Species","Bromus carinatus",NA,NA,0.223140486736163,1,"cooled_plants_gradient"
"Draba albertina","Species","Draba albertina",NA,NA,0.291776493242176,1,"warmed_plants_gradient","Species","Draba albertina",NA,NA,0.20980909411213,1,"cooled_plants_gradient"
"Erigeron speciosus","Species","Erigeron speciosus",NA,NA,0.296701738539168,1,"warmed_plants_gradient","Species","Erigeron speciosus",NA,NA,0.171506153525606,1,"cooled_plants_gradient"
"Aphyllon fasciculatum","Species","Aphyllon fasciculatum",NA,NA,0.381115423728452,1,"warmed_plants_gradient","Species","Aphyllon fasciculatum",NA,NA,0.294736578400326,1,"cooled_plants_gradient"
"Elymus repens","Species","Elymus repens",NA,NA,0.412031154174537,1,"warmed_plants_gradient","Species","Elymus repens",NA,NA,0.180021545086197,1,"cooled_plants_gradient"
"Atriplex argentea","Species","Atriplex argentea",NA,NA,0.458374942587051,1,"warmed_plants_gradient","Species","Atriplex argentea",NA,NA,0.492799858469308,1,"cooled_plants_gradient"
"Festuca thurberi","Species","Festuca thurberi",NA,NA,0.479865814568426,1,"warmed_plants_gradient","Species","Festuca thurberi",NA,NA,0.478802068809687,1,"cooled_plants_gradient"
"Artemisia tridentata","Species","Artemisia tridentata",NA,NA,0.493888813325708,1,"warmed_plants_gradient","Species","Artemisia tridentata",NA,NA,0.453306839577672,1,"cooled_plants_gradient"
