"species","warmed_bacteria_gradient","warmed_bacteria","cooled_bacteria_gradient","cooled_bacteria"
"1526",-0.45557542268237,-0.263136628782307,0.566592796389221,-0.259099902432289
"548",-0.599979752761849,-0.537870755274672,0.563460769391666,-0.358002586861107
"1534",-0.426446948741687,-0.285694459416801,0.531812037154405,-0.405372272783734
"984",-0.357542619036569,-0.212058457690297,0.515031115453386,-0.265030926426986
"113",-0.48384766450576,-0.450320764834061,0.510935627977431,-0.108370716481008
"1316",-0.470567412866461,-0.330065925856934,0.509312629617107,-0.247533931930238
"42",-0.292812579642585,-0.188661977847189,0.504370631466907,-0.272632075234264
"529",-0.281134406546692,-0.101296576587741,0.502769921932747,-0.243823549424034
"1452",-0.267048900668364,-0.113367695156878,0.499374703111941,0.0355469909708358
"224",-0.341475690103469,-0.207707258092283,0.488527279255787,-0.19859838714191
"1064",-0.479912880207155,-0.323465136105753,0.48214817536959,-0.196259958745959
"1112",-0.493484546490596,-0.464246789143574,0.477381495933367,-0.311510156680842
"1594",-0.178929180656723,-0.0256799518118172,0.475197537949774,0.0579738842910684
"669",-0.282604606499851,-0.17161882164265,0.472758939571817,0.0169201844535822
"378",-0.293230988869897,-0.195086632159698,0.453859137648078,-0.0633020545979047
"1648",-0.523847741262699,-0.426086282065527,0.453844909777277,-0.273065716195057
"457",-0.365049829163125,-0.130213145106104,0.452415500656559,-0.278864151373537
"904",-0.272726029525237,-0.0777931255875473,0.451704492974027,-0.28447481564633
"1317",-0.324839776429261,-0.175976580095806,0.451319717282385,-0.105607053387221
"724",-0.380950019625,-0.280066899514647,0.447394637193175,-0.334590910582039
"1022",-0.334797779778742,-0.17142811831034,0.447068526153405,-0.190723078499386
"1307",-0.310854178832118,0.000905357422345704,0.444803281340798,-0.463206477305818
"1151",-0.336357836555071,-0.19690944577398,0.444346044307845,-0.346793185245792
"1572",-0.265823745891562,-0.119452201260051,0.443294368801555,-0.0693455338479893
"598",-0.485901691233356,-0.421234429646417,0.442563887171004,-0.114155564715644
"316",-0.386887071830704,-0.231523517117251,0.44254817554179,-0.168373635074344
"339",-0.325743810538179,-0.0992629261271022,0.442185285907822,-0.434212177371185
"1120",-0.307147462883005,-0.192399272041042,0.439611487708918,NA
"1656",-0.328803452839598,-0.089736353707936,0.438503399736746,-0.420735586593844
"1055",-0.478017921917564,-0.515199017611665,0.438220426808144,NA
"12",-0.455516263027264,-0.264468661435247,0.438112396600669,-0.437431768991
"934",-0.216651584796836,-0.0977500913485001,0.437375149346079,0.0579738842910684
"1136",-0.223210244844224,0.0372857702940895,0.437309089026414,-0.349786061511374
"226",-0.228075462564809,0.0987829054983455,0.436939989029384,-0.255431840583987
"321",-0.354717650938329,-0.229422077934188,0.436681192906986,-0.291277455168338
"1098",-0.370030724784846,-0.146770285224268,0.43661673382116,-0.426562950386967
"268",-0.356902456938266,-0.209911672164453,0.435892371223067,-0.232037481713674
"330",-0.317328330148024,-0.2103136971264,0.435038844514681,-0.189390700531758
"440",-0.30937280773194,-0.176034929689451,0.433170270416746,-0.240849813471703
"894",-0.522871848112953,-0.460404867706206,0.431527033113124,-0.282246762478767
"1233",-0.41453964745402,-0.14983174256854,0.429176638611967,-0.292003042140392
"1663",-0.503633906958752,-0.447208265993682,0.428407776747211,-0.152805467775868
"89",-0.48612046701627,-0.355687525041546,0.42456980133635,-0.213406383768952
"976",-0.227534102321557,-0.0285243263303801,0.423847906295956,-0.168182760487043
"95",-0.209844791664187,0.0328790523449279,0.423837030241085,-0.202669202913576
"637",-0.339733859062514,-0.1265905744143,0.422372925685703,-0.344700376672307
"331",-0.47455907747582,-0.446109581387216,0.421538609487999,-0.246062737741413
"10",-0.50760833378676,-0.454311242573204,0.41830345823396,-0.35557300818529
"1560",-0.305793624250836,-0.141820372978532,0.417766685605192,-0.314385185353699
"65",-0.277802007133082,-0.202898862381899,0.415391720215133,-0.230294580296277
"1057",-0.403861059180837,-0.249754661792888,0.414245409334247,-0.200163050535192
"1024",-0.349573927957819,-0.266526612645105,0.413286282210197,-0.299156208570885
"1159",-0.326365337281518,-0.213539814333347,0.411147931156235,-0.278950965952737
"610",-0.299823985093206,-0.144106180474532,0.4099797066212,-0.281221985476492
