"ASV_id","High Control","Low Control","Mid Control"
"232",NA,3.19,NA
"233",3.15,3.22,3.82
"234",4.47,NA,4.33
"235",4.35,4.19,4.48
"236",4.27,4.28,4.48
"237",4.33,NA,NA
"238",3.56,3.95,3.87
"239",NA,3.83,3.4
"240",NA,3.92,NA
"241",4.04,4.05,3.64
"242",3.58,3.64,4.08
"243",4.96,3.78,4.04
"244",2.81,2.9,2.99
"245",2.34,2.72,3.04
"246",3.51,1.95,3.35
"247",NA,3.18,NA
"248",3.02,3.09,3.42
"249",3.24,3.66,3.38
"250",NA,3.63,NA
"251",3.4,NA,3.41
"252",NA,NA,3.64
"253",3.09,NA,3.94
"254",NA,NA,4.06
"255",NA,NA,4.2
"256",NA,NA,3.78
"257",4.75,NA,NA
"258",4.29,3.47,4.22
"259",4.17,3.84,4.02
"260",NA,NA,3.46
"262",3.11,3.09,NA
"263",2.69,2.9,2.95
"264",3.22,3.47,NA
"265",3.16,2.08,3.3
"266",3.2,NA,NA
"267",3.78,2.4,3.04
"268",3.21,2.94,2.93
"269",3.63,2.91,3.62
"270",3.66,NA,NA
"271",3.43,NA,3.56
"272",3.26,3.4,3.98
"273",NA,3.76,3.95
"274",5.29,4.36,NA
"275",NA,NA,4.05
"276",5.34,3.76,4.66
"277",5.43,3.33,5.57
"278",3.86,3.71,2.4
"279",2.87,2.54,2.96
"280",3.79,NA,3.43
"281",3.24,NA,2.67
"282",4.12,3.99,NA
"283",NA,NA,3.61
"284",3.19,3.56,4.08
"285",3.37,3.09,NA
"286",3.45,3.83,3.9
"287",4.01,3.4,NA
"288",3.54,3.88,4.23
"289",NA,NA,3.55
"290",3.57,3.22,3.57
"291",3.98,4.11,4.12
"292",3.93,4.09,4.17
"293",3.83,3.99,3.84
"294",3.71,NA,NA
"295",4.44,4.78,5
"296",3.75,4.48,4.35
"297",3.57,3.96,4.37
"298",3.61,3.09,3.56
"299",3.92,3.55,4.84
"300",3.36,NA,3.24
"301",4.66,4.05,4.26
"302",3.06,2.98,3.33
"303",2.38,3.07,2.96
"304",NA,NA,3.61
"305",NA,3.53,NA
"306",3.52,3.88,3.82
"307",4,NA,4.74
"308",3.69,2.24,2.79
"309",4.31,3.9,4.05
"310",NA,4.18,3.47
"311",4.22,NA,4.5
"312",3.93,NA,NA
"313",2.97,NA,NA
"314",NA,3.14,3.6
"315",3.01,NA,NA
"316",3.34,NA,3.53
"317",3.66,4.4,4.19
"318",4.37,4.57,4.04
"319",3.64,3.25,NA
