"ASV_id","High Control","Low Control","Mid Control"
"990",3.58,NA,3.27
"991",NA,3.35,NA
"992",4.37,3.87,3.62
"993",4.43,3.11,3.67
"994",NA,NA,2.88
"995",NA,3.5,2.92
"996",3.75,3.65,3.87
"997",NA,3.55,NA
"998",NA,2.2,3.25
"999",3.18,NA,3.81
"1000",3.12,NA,3.5
"1001",3.84,NA,3.83
"1002",3.27,NA,4.26
"1003",3.47,3.32,3.58
"1004",3.73,3.64,3.95
"1005",3.59,3.96,4
"1006",4.28,4.74,4.23
"1007",4.67,4.2,4.55
"1008",4.28,NA,4.42
"1009",NA,2.4,NA
"1010",NA,4.05,NA
"1012",3.39,4.33,3.7
"1013",4.46,4.34,4.08
"1014",NA,NA,3.95
"1015",3.66,NA,NA
"1016",3.94,NA,NA
"1017",3.93,NA,4.42
"1018",NA,3.22,3.58
"1019",NA,2.91,3.48
"1020",3.81,NA,NA
"1021",NA,3.95,NA
"1022",3.98,NA,4.03
"1023",3.92,3.19,3.67
"1024",3.98,3.99,4.53
"1025",NA,3.95,NA
"1026",NA,3.3,4.04
"1027",NA,4.04,NA
"1028",3.67,NA,NA
"1029",3.13,NA,NA
"1030",3.4,NA,NA
"1031",3.68,NA,NA
"1032",3.96,2.4,2.96
"1033",3.22,2.52,2.91
"1034",3.64,3.7,NA
"1035",3.94,3.11,3.26
"1036",4.33,3.69,4.57
"1037",5.56,4.81,5.54
"1038",4.03,NA,4.74
"1039",4.26,4.31,4.14
"1040",NA,4.17,NA
"1041",NA,4.04,NA
"1042",3.99,4.3,4.38
"1043",3.98,NA,NA
"1044",3.26,3.4,3.62
"1045",NA,3.83,4.06
"1046",3.69,NA,3.99
"1047",3.82,NA,3.55
"1048",3.33,NA,NA
"1049",NA,3.87,3.57
"1050",NA,NA,4.07
"1051",3.37,3.04,3.05
"1052",3.93,3.91,3.99
"1053",NA,NA,3.43
"1054",4.46,4.35,4.9
"1055",3.94,NA,4.74
"1056",3.92,3.83,4.21
"1057",4.77,NA,4.39
"1058",4.43,NA,4.61
"1059",3.93,NA,3.27
"1060",4.28,4.03,NA
"1061",3.76,NA,3.96
"1062",5.46,4.8,5.07
"1063",4.32,3.78,4.52
"1064",3.98,NA,4.27
"1065",4.37,NA,NA
"1066",3.18,3.59,3.87
"1067",4.38,4.31,4.95
"1068",3.77,NA,NA
"1069",2.99,3.04,2.66
"1070",3.4,2.85,4.09
"1071",NA,4.07,NA
"1072",NA,3.36,3.81
"1073",3.52,NA,3.21
"1074",4.08,3.34,4.04
"1075",NA,3.09,NA
"1076",5.26,4.43,4.47
"1077",4.07,3.03,4.55
"1078",3.87,3.36,3.84
"1079",4.45,NA,4.51
"1080",4.26,3.62,4.12
"1081",3.81,2.71,NA
"1082",4.23,4.18,4.65
"1083",5.84,5.45,5.46
"1084",4.87,4.57,4.68
"1085",4.83,4.99,4.87
"1086",3.91,NA,4.04
"1087",3.61,NA,3.9
"1088",4.88,NA,4.63
"1089",NA,4.09,3.94
"1090",NA,3.56,NA
"1091",4.14,4.36,4.79
"1092",NA,3.36,NA
"1093",3.23,3.09,4.01
"1094",NA,4.04,3.4
"1095",3.86,3.83,4.25
"1097",NA,4.06,NA
"1098",4.46,3.25,4.02
"1099",3.99,3.96,4.27
"1100",3.78,3.31,4.1
"1101",4.09,3.04,4.32
"1102",5.2,4.87,5.28
"1103",5.57,4.82,5.2
"1104",4.99,4.36,4.83
"1105",4.94,5.03,5.01
"1106",4.41,4.07,4.3
"1107",4.31,3.72,4.49
"1108",5.39,4.69,5.15
"1109",NA,3.59,NA
"1110",2.89,3.22,3.58
"1111",4.57,4.13,4.43
"1112",3.53,3.09,3.3
"1113",NA,2.91,2.71
"1114",3.86,3.37,4.11
"1115",3.06,3.14,3.33
"1117",4.17,3.26,3.69
"1118",3.76,3.78,3.5
"1119",3.98,3.74,3.86
"1120",3.41,NA,4.52
"1121",4.04,NA,3.33
"1122",4.49,3.9,4.75
"1123",4.93,4.58,4.95
"1124",3.69,3.75,4.43
"1126",3.15,2.94,3.91
"1127",3.49,3.62,4.06
"1128",3.71,NA,NA
"1129",NA,3.89,3.84
"1130",NA,NA,3.61
"1131",3.37,3.37,3.37
"1132",3.68,3.43,3.86
"1133",NA,3.47,3
"1134",4.62,4.58,4.58
"1136",3.63,3.78,3.8
"1137",3.82,3.91,4.15
"1138",4.06,4.32,4.78
"1139",5.79,5.43,5.66
"1140",4.21,3.33,4.37
"1141",5.9,4.8,5.02
"1142",NA,4.29,4.91
"1143",2.96,2.65,2.33
"1144",3.33,3.3,3.53
"1145",NA,3.37,3.46
"1146",4.11,3.79,4.1
"1147",3.39,NA,3.37
"1148",3.73,3.42,3.62
"1149",2.93,2.58,2.91
"1150",2.73,2.99,3.19
"1151",4.24,3.34,4.15
"1152",2.81,2.93,3.55
"1153",3.82,3.53,3.46
"1154",3.21,2.71,2.98
"1155",3.26,3.31,3.65
"1156",2.85,2.58,3.16
"1157",3.64,3.19,3.29
"1158",3.19,3.14,3.03
"1159",4.31,NA,4.25
"1160",3.82,4.19,NA
"1161",NA,3.78,2.56
"1162",NA,3.45,NA
"1163",3.97,3.94,3.63
"1164",3.76,3.71,3.83
"1165",4.11,3.95,NA
"1166",3.3,3.18,3.53
"1167",3.73,3.83,3.64
"1168",3.89,3.97,4.31
"1169",NA,4.38,3.62
"1170",NA,3.23,3.73
"1171",NA,3.98,NA
"1172",4.02,3.98,3.95
"1173",NA,2.89,NA
"1174",NA,2.67,NA
"1175",3.14,3.24,3.32
"1176",2.08,2.68,1.61
"1177",NA,NA,3.58
"1178",NA,4.32,NA
"1179",4.28,4.23,4.39
"1180",3.5,3.38,3.93
"1181",3.49,4.05,3.35
"1182",NA,NA,3.7
"1183",3.76,3.39,3.83
"1184",3.18,3.82,3.7
"1185",3.71,4.24,4.26
"1186",3.53,NA,NA
"1187",3.8,3.95,NA
"1188",2.83,NA,3.7
"1189",NA,2.77,3.19
"1190",NA,3.65,3.62
"1191",NA,NA,3.35
"1192",3.28,4.11,3.8
"1193",4.12,3.91,4.14
"1194",NA,2.94,3.43
"1195",3.34,3.57,3.06
"1196",3.76,2.83,NA
"1197",3.85,3.79,3.86
"1198",3.73,4.12,3.73
"1199",4.1,4.03,4.37
"1200",3.71,3.16,3.29
"1201",3.34,NA,3.74
"1202",3.11,3.48,3.37
"1203",3.87,3.84,3.39
"1204",3.72,3.8,3.49
"1205",3.66,3.22,4.38
"1206",3.99,NA,4.05
"1207",4.8,3.14,3.89
"1208",NA,NA,3.42
"1209",NA,3.87,4.19
"1211",4.14,4.6,NA
"1212",3.37,4.03,NA
"1213",NA,3.3,NA
"1214",NA,3.09,3.47
"1215",NA,NA,3.73
"1216",5.68,5.51,6.1
"1217",NA,3.41,3.26
"1218",2.48,3.01,3.43
"1219",NA,3.88,NA
"1220",3,3.52,3.26
"1221",NA,3.81,4.55
"1222",4.18,4.04,4.29
"1223",NA,3.34,NA
"1224",NA,3.34,3.2
"1225",3.97,3.2,3.51
"1226",3.09,3.61,3.61
"1227",NA,2.83,3.62
"1228",1.79,3.18,3.49
"1229",NA,3.74,3.28
"1230",3.3,3.56,3.45
"1231",2.5,3.31,2.3
"1232",NA,3.5,NA
"1233",3.4,2.23,3.43
"1234",3.4,3.04,3.43
"1235",3.53,3,3.83
"1236",3.73,3.84,3.84
"1237",3.54,3.81,NA
"1238",3.74,3.67,4
"1239",2.75,3.23,3.62
"1240",4.16,3.92,4.09
"1241",NA,NA,4.33
"1242",5.51,4.74,4.92
"1243",NA,NA,3.93
"1244",5.19,4.91,5.23
"1245",4.2,3.47,NA
"1246",2.73,4.03,3.43
"1247",2.67,3.28,2.54
"1248",2.17,2.96,3.04
"1249",3.46,3.46,3.76
"1250",NA,4.28,3.83
"1251",3.96,4.15,4.08
"1252",3.66,NA,NA
"1253",4.68,4.9,5.19
"1254",3.47,3.51,3.93
"1255",2.97,3.11,3.31
"1256",NA,NA,3.87
"1257",3.54,3.19,NA
"1258",3.68,NA,4.38
"1259",3.45,3.04,3.81
"1260",4.05,4.42,4.71
"1261",NA,4.4,NA
"1262",4.22,4.82,4.96
"1263",NA,3.48,NA
"1264",2.79,3.22,3.34
"1265",3.25,4.15,3.41
"1266",3.42,3.78,3.66
"1267",NA,3.88,3.79
"1268",4.28,4.57,4.49
"1269",NA,3.25,NA
"1270",3.26,NA,3.43
"1271",NA,3.69,3.47
"1272",3.1,NA,3.65
"1273",3.85,3.8,NA
"1274",4.18,4.19,4.52
"1275",3.47,3.36,3.48
"1276",4.21,4.12,3.89
"1277",3.35,3.85,3.44
"1278",3.21,3.7,3.27
"1280",4.03,3.69,3.69
"1281",3,3.62,3.4
"1282",2.46,2.82,3.04
"1283",3.61,NA,4.44
"1284",NA,3.72,3.9
"1285",3.22,NA,3.94
"1286",3.61,3.66,3.86
"1287",3.6,3.58,3.64
"1288",3.58,3.53,4.19
"1289",3.53,3.74,3.56
"1290",NA,3.53,NA
"1291",NA,3.87,NA
"1292",3.58,3.73,3.64
"1293",3.12,3.26,3.26
"1294",3.4,3.98,3.26
"1295",3.61,3.49,4.25
"1296",4.08,NA,3.87
"1297",2.86,3.59,3.28
"1298",NA,NA,3.5
"1299",3.11,NA,3.36
"1300",NA,3.28,3.16
"1301",3.45,3.11,3.15
"1302",NA,3.33,2.64
"1303",3.12,NA,NA
"1304",2.95,NA,3.67
"1305",3.26,3.73,3.55
"1306",NA,3.41,NA
"1307",3.72,3.78,4.11
"1308",4.14,4.09,3.98
"1309",NA,NA,4.52
"1310",4.33,NA,5.26
"1311",4.52,4.63,4.58
"1312",3.73,3.8,4.3
"1313",3.18,3.74,3.3
"1314",NA,3.71,NA
"1315",3.43,NA,3.22
"1316",3.27,NA,3.45
"1317",3.03,NA,3.67
"1318",NA,3.83,NA
"1319",NA,4.41,NA
"1320",4.53,5.58,4.57
"1321",3.48,3.57,3
"1322",3.43,NA,3.47
"1323",NA,3.25,3.7
"1324",NA,4.06,3.85
"1325",NA,NA,3.75
"1326",3.46,4.15,3.41
"1327",5.07,5.03,5.29
"1328",NA,NA,4.05
"1329",4.84,5.32,4.75
"1330",4.61,4.71,4.37
"1331",3.3,3.67,3.38
"1332",3.43,NA,3.27
"1333",NA,4.41,NA
"1334",4.58,4.41,4.6
"1335",1.95,3.27,2.63
"1336",NA,3.64,3.57
"1337",NA,NA,3.35
"1338",3.97,3.59,4.02
"1339",NA,2.91,3.33
"1340",3,3.58,3.55
"1341",3.91,NA,4.02
"1342",4.17,4.49,4.46
"1343",3.73,3.8,3.37
"1344",4.06,3.69,3.8
"1345",2.86,3.18,3.3
"1346",4.22,4.04,4.5
"1347",3.85,4.39,4.25
"1348",2.78,3.34,3.32
"1349",2.83,3.4,NA
"1350",3.38,3.96,3.76
"1351",3.77,4.11,4.23
"1352",3.84,3.3,3.49
"1353",3.56,3.71,3.7
"1354",3.26,3.24,3.1
"1355",3.32,3.74,3.57
"1356",NA,3.27,NA
"1357",3.19,3.45,3.43
"1358",2.8,2.93,3.64
"1359",NA,3.53,NA
"1360",NA,NA,3.15
"1361",3.23,2.05,3.13
"1362",2.97,2.44,2.3
"1363",3.78,3.31,3.52
"1364",4.08,3.13,3.23
"1365",4.24,4.06,3.45
"1366",NA,3.35,2.64
"1367",4.36,3.78,NA
"1368",3.7,2.87,3.42
"1369",NA,3.44,3.14
"1370",NA,3.25,2.6
"1371",3.5,2.77,2.86
"1372",3.71,2.76,NA
"1373",NA,2.39,2.48
"1374",2.56,3.26,4.06
"1375",3.44,3.99,3.82
"1376",3.64,3.22,3.2
"1377",2.91,2.9,NA
"1378",3.04,3.33,NA
"1379",NA,2.97,3.04
"1380",3.67,3.41,3.4
"1381",3.61,3.61,3.56
"1382",4.16,4.02,3.66
"1383",2.86,NA,2.8
"1384",2.67,3.38,2.67
"1385",NA,2.57,3.19
"1386",3.61,4.09,4.13
"1387",3.05,2.94,3.6
"1388",2.67,2.64,2.95
"1389",2.79,2.63,3.83
"1390",2.89,2,2.56
"1391",NA,3.79,2.85
"1393",3.87,3.18,4.23
"1394",3.88,3.47,3.33
"1395",3.09,4.12,NA
"1396",3.96,4.38,4.24
"1397",NA,NA,3.99
"1398",3.32,3.99,3.98
"1399",NA,NA,3.66
"1400",2.47,3.26,2.95
"1401",4.04,4.6,4.3
"1402",3.76,3.09,3.62
"1403",NA,3.71,4.17
"1404",4.24,4.55,4.56
"1405",4.35,4.55,4.39
"1406",NA,4.6,NA
"1407",4.59,5.05,4.6
"1408",NA,3.36,NA
"1409",NA,2.86,NA
"1410",4.47,NA,3.36
"1411",4.26,NA,4.42
"1412",3.79,3.86,3.43
"1413",3.12,NA,NA
"1414",NA,NA,3.64
"1415",4.45,4.59,4.57
"1416",3.26,NA,4.33
"1417",3.43,3.25,NA
"1418",NA,2.98,3.63
"1419",NA,2.83,3.37
"1420",NA,3.95,3
"1421",4.32,3.7,3.83
"1423",3.41,NA,NA
"1424",3.76,3.85,4.14
"1425",4.34,3.87,4.16
"1426",4.41,NA,3.89
"1427",4.56,NA,4.7
"1428",4.93,4.74,5.02
"1429",3.81,4.04,3.69
"1431",3.53,3.76,3.58
"1432",NA,3.91,3.95
"1433",NA,3.22,3.87
"1434",3.53,NA,NA
"1435",5.16,3.36,NA
"1436",2.83,2.7,2.51
"1437",3.91,NA,4.02
"1438",3.31,NA,3.47
"1439",NA,3.2,3.06
"1440",4,3.68,3.82
"1441",3.91,3.84,4.07
"1442",2.77,2.65,3.12
"1443",NA,3.63,3.37
"1444",NA,2.94,3.29
"1445",3.56,3.71,3.14
"1446",3.85,3.79,3.75
"1447",NA,3.92,3.76
"1448",NA,3.78,NA
"1449",NA,3.4,NA
"1450",4.02,4.23,4.2
"1451",3.88,3.51,4.01
"1452",3.84,2.94,3.52
"1453",4.82,3.01,3.14
"1454",NA,3.41,NA
"1455",3,3.07,3.61
"1456",3.89,4.57,3.97
"1457",4.5,3.38,NA
"1458",4.89,4.63,4.89
"1459",NA,3.87,NA
"1460",3.93,4.02,4.46
"1461",NA,4.12,3.56
"1462",4.12,3.5,NA
"1463",4.06,NA,4.09
"1464",NA,4.48,4.63
"1465",4.24,NA,NA
"1466",4.86,4.03,4.48
"1467",2.61,2.43,2.98
"1468",2.46,2.61,3
"1469",NA,3.81,4.11
"1470",3.54,3.28,3.25
"1471",4.81,4.82,4.89
"1472",NA,4.13,3.85
"1473",4.46,4.78,4.34
"1474",4.38,4.29,3.89
"1475",NA,3.49,NA
"1476",3,NA,2.64
"1477",3.83,3.89,4.31
"1478",NA,3.49,3.83
"1479",3.91,3.86,4.53
"1480",3.6,3.81,4.04
"1481",4.18,4.13,4.34
"1482",NA,4.26,NA
"1483",4.02,4,4.19
"1484",3.96,4.45,NA
"1485",3.83,3.59,4.36
"1486",3.63,4.22,4.27
"1487",3.33,4,3.57
"1488",4.1,4.13,4.59
"1489",3.76,3.78,3.87
"1490",2.87,3.64,3.48
"1491",NA,3.9,NA
"1492",4.42,4.26,4.18
"1493",2.74,3.64,3.47
"1494",3.14,NA,4.16
"1495",4.13,4.37,3.37
"1496",NA,4.05,3.82
"1498",3.28,3.25,3.65
"1499",4.2,NA,4.01
"1500",3.88,4.28,4.14
"1501",NA,3,3.77
"1502",NA,3.62,NA
"1504",5.43,5.22,5.85
"1505",3.02,NA,3.35
"1506",NA,3.91,3.22
"1507",3.58,3.72,4.18
"1508",3.56,3.89,3.95
"1509",NA,3.42,3.3
"1510",3.29,3.29,3.34
"1511",3.66,NA,4.37
"1512",3.81,3.56,3.09
"1513",3.48,2.91,3.5
"1514",4.47,3.63,4.08
"1515",NA,3.5,3.8
"1516",3.96,3.19,4.03
"1517",NA,NA,4.33
"1518",3.94,3.5,NA
"1519",4.13,4.02,4.05
"1520",NA,4.17,NA
"1521",2.51,2.87,3.11
"1522",2.56,3.21,3.25
"1523",3.83,NA,NA
"1524",3.86,NA,NA
"1525",NA,3.97,NA
"1526",3.22,NA,3.54
"1527",3.24,2.3,2.93
"1528",NA,3.01,2.89
"1529",NA,NA,3.57
"1530",NA,3.64,NA
"1531",3.37,NA,NA
"1532",3.7,3.4,3.59
"1533",2.84,2.46,3.52
"1534",4,2.98,3.65
"1535",3.81,2.81,3.31
"1536",4.3,NA,3.43
"1537",3.54,3.63,3.53
"1538",NA,4.26,NA
"1539",3.92,4.42,3.97
"1540",NA,3.33,NA
"1541",2.79,2.95,3.19
"1542",4.35,3.87,4.44
"1543",NA,3.64,NA
"1544",3.73,2.67,2.79
"1545",3.98,3.78,4.15
"1546",NA,3.69,NA
"1547",3.3,NA,3.37
"1548",5.06,4.8,4.82
"1549",3.71,3.33,3.43
"1550",3.45,2.96,3.69
"1551",NA,NA,3.56
"1552",3.55,3.55,3.56
"1553",3.75,3.07,3.01
"1554",3.18,NA,3.05
"1555",3.29,3.53,2.78
"1556",NA,3.71,NA
"1558",4.22,NA,NA
"1559",4.41,NA,NA
"1560",5.09,4.14,4.56
"1561",3.37,3.71,3.89
"1562",4.43,4.29,4.19
"1563",4.25,4.16,3.43
"1564",2.89,3.15,3.12
"1565",NA,3.14,NA
"1566",4.03,3.37,NA
"1567",NA,3.22,2.57
"1568",2.81,NA,3.75
"1569",NA,3.52,NA
"1570",4.7,4.54,4.66
"1571",3.81,3.46,3.64
"1572",2.76,2.14,3.32
"1573",3.73,3.54,3.89
"1574",2.22,NA,2.48
"1575",3.4,3.47,NA
"1576",NA,2.97,NA
"1577",2.99,2.67,3.3
"1578",3.62,3.33,3.73
"1579",3.69,NA,3.74
"1580",2.83,3.18,3.64
"1581",3.54,3.48,3.7
"1582",4.32,4.45,4.57
"1583",NA,2.89,NA
"1584",3.87,3.88,4.01
"1585",4.13,NA,4.16
"1586",4.65,4.54,4.45
"1587",4.41,NA,NA
"1588",4.63,2.3,NA
"1589",NA,4,NA
"1590",NA,3.96,NA
"1591",3.46,3.62,3.95
"1592",4.16,3.97,4.05
"1593",3.5,3.17,3.61
"1594",3.98,NA,4.31
"1595",NA,3.18,3.47
"1596",3.72,NA,4.18
"1597",NA,3.81,3.5
"1598",3.26,NA,4.51
"1599",3.5,NA,NA
"1600",4.13,3.09,3.9
"1601",3.47,4.92,4.16
"1602",2.94,NA,3.45
"1603",3.6,3.9,4.01
"1604",NA,3.4,NA
"1605",NA,2.64,NA
"1606",4.4,4.56,4.99
"1607",NA,3.73,3.73
"1608",3.02,3.48,3.6
"1609",4.28,4.17,NA
"1610",2.98,3.49,3.25
"1611",4.13,4.28,4.03
"1612",NA,3.69,NA
"1613",NA,3.61,NA
"1614",3.14,NA,3.44
"1615",3.72,4.1,4.42
"1616",4.12,3.66,4.46
"1617",5.26,5.01,4.89
"1618",4.1,3.97,3.99
"1619",5.04,4.56,5.02
"1620",NA,3.86,NA
"1621",3.52,3.61,3.88
"1622",2.71,2.89,3.21
"1623",3.37,3.32,3.45
"1624",5.53,5.22,5.57
"1625",3.81,4.31,4.36
"1626",4.44,4.93,4.88
"1627",3.35,3.17,3.52
"1628",3.56,3.94,3.87
"1629",NA,4.13,NA
"1630",NA,3.22,NA
"1631",4.02,NA,4.33
"1632",3.23,2.92,3
"1633",NA,2.64,3.43
"1634",NA,3.17,3.81
"1635",NA,3,NA
"1636",NA,3.74,3.91
"1637",5.08,4.03,4.97
"1638",NA,2.95,NA
"1639",NA,3.41,2.95
"1640",2.33,2.26,2.41
"1641",3.35,NA,4.14
"1642",2.74,2.57,2.61
"1643",2.72,2.15,1.82
"1645",NA,2.55,NA
"1646",3.33,NA,2.74
"1647",3.9,2.28,3.08
"1648",3.7,3.22,3.89
"1649",3.8,NA,3.4
"1650",3.76,NA,3.33
"1651",3.89,3.02,3.59
"1652",NA,3.81,NA
"1653",3.97,3.33,3.78
"1654",3.37,NA,3.63
"1655",3.14,3.37,3.61
"1656",4.23,3.79,4.28
"1657",4.34,3.77,4.65
"1658",4.48,4.24,4.99
"1659",3.47,2.7,3.34
"1660",3.47,3.14,4.22
"1661",3.05,2.08,3.16
"1662",3.34,2.09,2.66
"1663",3.39,NA,1.59
