"ASV_id","High Control","Low Control","Mid Control"
255,3.65,3.37,3.29
257,NA,2.89,NA
258,NA,7.46,NA
259,3.08,1.94,2.86
260,3.65,6.14,4.37
261,NA,3.42,NA
262,NA,2.97,NA
263,4.31,2.48,2.48
264,3.86,3.22,NA
265,NA,3.09,NA
266,1.52,3.01,3.18
267,2.68,1.39,2.44
268,NA,4.58,NA
269,NA,NA,4.84
270,1.1,2.77,NA
271,2.3,2.78,NA
272,NA,3.35,NA
273,NA,3.19,2.2
274,3.11,2.2,2.24
275,NA,2.93,NA
276,2.89,3.04,NA
277,2.67,1.39,2.21
278,4.82,NA,NA
279,2.91,2.19,NA
280,NA,NA,3.74
281,4.98,NA,3.73
282,NA,4.59,NA
283,NA,3.31,3.24
284,2.64,2.47,2.3
285,3.68,3.5,NA
286,4.85,2.68,3.76
287,4.5,2.99,2.53
288,3.06,3.3,2.88
289,2.61,4.42,2.84
290,3.74,3.06,4.6
291,NA,NA,1.1
292,2.79,5.05,3.07
293,2.13,3.99,4.98
294,NA,NA,4.63
295,NA,2.49,NA
296,3.01,3.77,3.55
297,2.1,1.92,2.92
298,4.76,4.39,4.21
299,3.55,4.3,3.35
300,NA,2.48,3.06
301,NA,3.27,NA
302,3.33,4.82,2.49
303,NA,3.67,4.04
304,3.56,2.73,4.57
305,5.04,NA,NA
306,3.32,4.03,3.82
307,NA,3.67,NA
308,3.61,5.16,NA
309,NA,NA,4.57
310,NA,3.14,NA
311,3.2,3.66,3.86
312,NA,4.66,2.48
313,3.83,2.71,1.79
314,NA,2.71,NA
315,3.19,2.96,2.78
316,2.29,2.45,2.62
317,5.15,NA,NA
318,4.44,2.51,NA
319,3.55,2.37,2.42
320,2.92,3.82,NA
321,4.53,5.11,6.57
322,4.51,5.82,3.51
323,NA,3.09,NA
324,6.27,4.98,3.95
325,4.95,NA,2.32
326,2.76,3.39,3.19
327,2.73,1.95,2.95
328,5.48,5.74,4.48
329,3.61,3.93,2.48
330,NA,3.88,NA
331,NA,4.66,NA
332,3.22,NA,3.61
333,NA,2.63,2.87
334,4.86,4.67,4.82
335,NA,4.92,NA
336,5.11,4.06,5.56
337,3.28,3.47,NA
338,3.14,3.48,3.75
339,3.65,3.43,4.86
340,NA,2.93,NA
341,2.43,3.69,3.17
342,NA,5.09,NA
343,2.47,3.7,3.61
345,NA,5.64,6.45
346,4.21,4.55,3.69
347,3.35,NA,NA
349,4.04,4,4.06
350,5.08,5.37,4
351,4.73,3.43,NA
352,5.14,4.47,4.59
353,5.16,5.79,4.49
354,6.85,4.24,NA
355,6.66,5.17,5.46
356,4.01,3.16,2.71
357,NA,NA,2.56
358,NA,NA,5.21
359,4.02,NA,3
360,4.69,NA,6.18
361,7.25,5.54,6.57
362,NA,NA,5.12
363,4.06,3.14,3.11
364,3.73,4.63,NA
365,4.06,4.08,2.64
366,4.13,1.78,NA
367,NA,NA,3.38
368,NA,2.86,NA
369,NA,4.18,NA
370,3.82,NA,3.58
371,2.94,3.55,3.55
372,NA,2.36,NA
373,2.54,3.14,2.87
374,2.69,2.65,2.54
375,NA,2.73,1.66
376,3.16,3.97,2.31
377,5.08,2.8,3.28
378,2.5,2.08,2.69
379,2.56,2.6,3.03
380,NA,4.09,2.33
381,2.72,2.7,1.95
382,4.83,NA,NA
383,6.94,7.02,5.69
384,4.85,NA,3.45
385,5.69,2.89,3.41
386,4.68,5.76,4.06
387,4.31,5.67,5.27
388,4.37,4.01,NA
389,6.15,7.01,6.44
390,NA,3.54,3.35
391,NA,4.25,NA
392,NA,3.45,NA
393,NA,5.55,2.48
394,2.96,3.73,2.71
395,NA,3.27,4.47
396,2.82,3.69,3.14
397,3.71,0.69,2.58
398,4.3,3.83,NA
399,2.83,NA,2.43
400,NA,1.73,NA
