community,ASV_id,LogAbundance_HighControl,LogAbundance_MidControl,LogAbundance_LowControl,weight_warmed_gradient,weight_warmed_experiment,weight_cooled_gradient,weight_cooled_experiment,Genus,Family,Phylum,Class,Order
bacteria and archaea,644,2.66,2.76,2.29,-0.01,0.1,0.17,-0.23,Methylobacterium-Methylorubrum,Beijerinckiaceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,112,3.73,3.52,3.64,-0.25,-0.22,0.17,-0.22,Gemmata,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,953,2.95,2.94,2.73,-0.21,-0.12,0.17,-0.13,NA,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,1052,3.93,3.99,3.91,-0.12,-0.13,0.17,0.08,RB41,Pyrinomonadaceae,Acidobacteria,Blastocatellia,Pyrinomonadales
bacteria and archaea,1599,3.5,NA,NA,0.11,0.15,0.17,-0.08,NA,Pseudonocardiaceae,Actinobacteria,Actinobacteria,Pseudonocardiales
bacteria and archaea,19,4.03,4.41,3.65,-0.03,0.15,0.17,-0.3,Acidothermus,Acidothermaceae,Actinobacteria,Actinobacteria,Frankiales
bacteria and archaea,235,4.35,4.48,4.19,-0.17,0.05,0.17,0.01,NA,NA,Acidobacteria,Acidobacteriae,Subgroup 2
bacteria and archaea,45,3.95,NA,NA,-0.11,-0.1,0.17,0.06,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,1105,4.94,5.01,5.03,-0.21,-0.09,0.17,-0.24,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,480,4.48,3.87,4.14,-0.2,-0.14,0.17,-0.26,Chthoniobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,111,3.26,3.89,3.76,0.05,0.3,0.17,-0.13,Gemmata,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,996,3.75,3.87,3.65,-0.26,-0.25,0.17,0,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,121,NA,4.01,NA,-0.05,0.09,0.17,-0.2,NA,Pirellulaceae,Planctomycetota,Planctomycetes,Pirellulales
bacteria and archaea,244,2.81,2.99,2.9,-0.31,-0.22,0.17,-0.44,NA,NA,NA,NA,NA
bacteria and archaea,666,2.71,3.26,NA,-0.12,-0.03,0.17,-0.01,NA,Acetobacteraceae,Proteobacteria,Alphaproteobacteria,Acetobacterales
bacteria and archaea,233,3.15,3.82,3.22,-0.11,0.05,0.17,-0.42,NA,NA,Acidobacteria,Acidobacteriae,Subgroup 2
bacteria and archaea,1256,NA,3.87,NA,0.08,0.26,0.17,-0.2,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,1154,3.21,2.98,2.71,-0.03,0.08,0.17,-0.14,Candidatus Solibacter,Solibacteraceae,Acidobacteria,Acidobacteriae,Solibacterales
bacteria and archaea,1138,4.06,4.78,4.32,-0.14,0.13,0.17,-0.39,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,866,4.54,3.69,3.75,-0.26,-0.23,0.16,-0.2,NA,Methyloligellaceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,1262,4.22,4.96,4.82,-0.1,0.09,0.16,-0.3,Conexibacter,Solirubrobacteraceae,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,323,4.32,4.11,4.06,-0.33,-0.28,0.16,-0.18,Pseudomonas,Pseudomonadaceae,Proteobacteria,Gammaproteobacteria,Pseudomonadales
bacteria and archaea,368,3.45,2.55,2.73,-0.26,-0.12,0.16,-0.29,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,709,3.14,3.89,NA,-0.09,-0.02,0.16,NA,Microvirga,Beijerinckiaceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,977,3.93,1.95,NA,-0.16,-0.12,0.16,-0.32,NA,NA,Desulfobacterota,NA,NA
bacteria and archaea,633,NA,4.78,NA,0.12,0.29,0.16,NA,Rhodoplanes,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,1309,NA,4.52,NA,0,0.15,0.16,NA,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,867,NA,3.97,NA,0.19,0.36,0.16,NA,Sphingomonas,Sphingomonadaceae,Proteobacteria,Alphaproteobacteria,Sphingomonadales
bacteria and archaea,569,NA,3.7,NA,-0.12,-0.02,0.16,-0.01,Haliangium,Haliangiaceae,Myxococcota,Polyangia,Haliangiales
bacteria and archaea,53,4.54,3.38,3.24,-0.28,-0.24,0.16,-0.31,NA,NA,Methylomirabilota,Methylomirabilia,Rokubacteriales
bacteria and archaea,370,3.44,3.26,3.14,-0.1,-0.16,0.16,0.01,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,993,4.43,3.67,3.11,-0.4,-0.42,0.16,-0.3,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,317,3.66,4.19,4.4,0.04,0.2,0.16,-0.12,NA,NA,Acidobacteria,Holophagae,Subgroup 7
bacteria and archaea,1078,3.87,3.84,3.36,-0.1,0.09,0.16,-0.27,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,654,4.05,4.23,3.75,-0.22,-0.12,0.16,-0.04,Bradyrhizobium,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,52,4.64,3.93,3.97,-0.32,-0.26,0.16,-0.38,NA,NA,Methylomirabilota,Methylomirabilia,Rokubacteriales
bacteria and archaea,1495,4.13,3.37,4.37,-0.05,0.02,0.16,-0.05,NA,NA,Actinobacteria,Actinobacteria,Frankiales
bacteria and archaea,980,3.98,4.33,3.96,-0.19,-0.17,0.16,-0.24,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,1658,4.48,4.99,4.24,-0.15,0.02,0.16,-0.32,NA,NA,Chloroflexi,KD4-96,NA
bacteria and archaea,1215,NA,3.73,NA,0,0.15,0.16,-0.06,NA,67-14,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,679,4.86,4.39,4.51,-0.15,-0.11,0.16,-0.4,Pseudolabrys,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,612,5.26,5.14,4.6,-0.14,-0.01,0.16,-0.28,NA,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,436,5.24,5.02,4.5,-0.21,-0.12,0.16,-0.3,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,90,3.53,3.32,NA,0.01,0.14,0.16,-0.06,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,139,3.78,3.37,2.89,-0.24,-0.16,0.16,-0.39,Fimbriiglobus,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,1322,3.43,3.47,NA,0.02,0.17,0.16,-0.05,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,1144,3.33,3.53,3.3,0.08,0.19,0.16,-0.08,NA,NA,Chloroflexi,Ktedonobacteria,C0119
bacteria and archaea,421,3.33,3.45,3.21,-0.13,-0.06,0.15,-0.14,NA,Pedosphaeraceae,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales
bacteria and archaea,1123,4.93,4.95,4.58,-0.13,0,0.15,-0.19,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,812,3.48,NA,3.88,-0.15,-0.15,0.15,-0.19,Mucilaginibacter,Sphingobacteriaceae,Bacteroidota,Bacteroidia,Sphingobacteriales
bacteria and archaea,458,3.84,4.09,NA,-0.29,-0.21,0.15,0.08,Chthoniobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,1352,3.84,3.49,3.3,-0.16,0,0.15,-0.39,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,1577,2.99,3.3,2.67,-0.07,0.1,0.15,-0.17,MND1,Nitrosomonadaceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,929,NA,3.97,NA,-0.09,NA,0.15,-0.2,Puia,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,1103,5.57,5.2,4.82,-0.3,-0.21,0.15,-0.35,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,1508,3.56,3.95,3.89,0.01,0.17,0.15,0.06,Nocardioides,Nocardioidaceae,Actinobacteria,Actinobacteria,Propionibacteriales
bacteria and archaea,713,4.02,3.66,3.2,-0.27,-0.14,0.15,-0.02,Mesorhizobium,Rhizobiaceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,25,3.09,2.79,NA,0.04,0.22,0.15,-0.11,Iamia,Iamiaceae,Actinobacteria,Acidimicrobiia,Microtrichales
bacteria and archaea,944,3.12,3.56,3.04,-0.26,-0.19,0.15,-0.26,Terrimonas,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,400,4.77,4.43,4.08,-0.08,-0.01,0.15,-0.16,NA,NA,Acidobacteria,Acidobacteriae,Acidobacteriales
bacteria and archaea,789,4.21,3.91,3.88,-0.27,-0.16,0.15,-0.27,NA,NA,Acidobacteria,Acidobacteriae,Acidobacteriales
bacteria and archaea,606,3.92,3.81,3.7,-0.24,-0.12,0.15,-0.13,NA,NA,Proteobacteria,Alphaproteobacteria,Elsterales
bacteria and archaea,1426,4.41,3.89,NA,-0.33,-0.24,0.15,-0.12,Rhizobacter,Comamonadaceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,432,4.34,4.38,3.61,-0.22,-0.17,0.15,-0.16,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,1015,3.66,NA,NA,-0.05,-0.01,0.15,-0.24,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,905,2.89,2.99,3.53,-0.01,0.1,0.15,-0.14,NA,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,824,NA,4.16,NA,0,0.18,0.15,-0.08,Mucilaginibacter,Sphingobacteriaceae,Bacteroidota,Bacteroidia,Sphingobacteriales
bacteria and archaea,342,NA,3.73,NA,0.08,0.24,0.15,-0.31,NA,NA,Acidobacteria,Acidobacteriae,Acidobacteriales
bacteria and archaea,190,3.13,3.74,2.56,-0.19,-0.07,0.15,-0.22,NA,NA,Gemmatimonadota,S0134 terrestrial group,NA
bacteria and archaea,737,3.49,4.11,3.3,-0.02,0.09,0.15,0.22,Bauldia,Rhizobiales Incertae Sedis,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,136,NA,4.06,NA,0.11,0.26,0.15,0.06,NA,Isosphaeraceae,Planctomycetota,Planctomycetes,Isosphaerales
bacteria and archaea,1257,3.54,NA,3.19,-0.17,-0.15,0.15,-0.27,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,1618,4.1,3.99,3.97,-0.31,-0.23,0.15,-0.27,NA,NA,Chloroflexi,KD4-96,NA
bacteria and archaea,874,4.85,4.77,4.69,-0.05,0.06,0.15,-0.16,Sphingomonas,Sphingomonadaceae,Proteobacteria,Alphaproteobacteria,Sphingomonadales
bacteria and archaea,1111,4.57,4.43,4.13,-0.15,-0.01,0.15,-0.12,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,748,3.11,3.16,2.94,-0.27,-0.12,0.14,-0.15,Nordella,Rhizobiales Incertae Sedis,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,1249,3.46,3.76,3.46,0,0.21,0.14,-0.31,NA,67-14,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,1149,2.93,2.91,2.58,-0.18,0.04,0.14,-0.01,NA,NA,Acidobacteria,Acidobacteriae,Paludibaculum
bacteria and archaea,294,3.71,NA,NA,-0.26,-0.21,0.14,-0.2,NA,NA,Acidobacteria,Holophagae,Subgroup 7
bacteria and archaea,283,NA,3.61,NA,-0.08,0.11,0.14,-0.22,NA,NA,Acidobacteria,Holophagae,Subgroup 7
bacteria and archaea,768,3.38,3.14,2.64,-0.17,-0.18,0.14,-0.06,Nitrospira,Nitrospiraceae,Nitrospirota,Nitrospiria,Nitrospirales
bacteria and archaea,550,3.87,4.41,3.47,-0.3,-0.29,0.14,-0.22,NA,NA,Acidobacteria,Vicinamibacteria,Subgroup 17
bacteria and archaea,627,4.39,4.55,4.09,-0.26,-0.17,0.14,-0.26,Rhodoplanes,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,1389,2.79,3.83,2.63,-0.04,0.07,0.14,-0.21,NA,Ktedonobacteraceae,Chloroflexi,Ktedonobacteria,Ktedonobacterales
bacteria and archaea,1047,3.82,3.55,NA,-0.11,0.06,0.14,-0.13,RB41,Pyrinomonadaceae,Acidobacteria,Blastocatellia,Pyrinomonadales
bacteria and archaea,1304,2.95,3.67,NA,-0.27,-0.27,0.14,-0.27,Gaiella,Gaiellaceae,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,510,3.84,4.08,4.25,-0.07,-0.17,0.14,0.03,Chthoniobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,1050,NA,4.07,NA,0.01,0.17,0.14,NA,RB41,Pyrinomonadaceae,Acidobacteria,Blastocatellia,Pyrinomonadales
bacteria and archaea,700,3.33,3.48,3.7,-0.08,0,0.14,-0.12,NA,Caulobacteraceae,Proteobacteria,Alphaproteobacteria,Caulobacterales
bacteria and archaea,519,5.42,5.13,4.72,-0.12,0,0.14,-0.31,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,156,3.42,2.5,3.31,-0.02,0.08,0.14,-0.04,NA,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,311,4.22,4.5,NA,-0.31,-0.28,0.14,-0.22,NA,NA,Acidobacteria,Holophagae,Subgroup 7
bacteria and archaea,1183,3.76,3.83,3.39,-0.28,-0.25,0.14,-0.26,Candidatus Solibacter,Solibacteraceae,Acidobacteria,Acidobacteriae,Solibacterales
bacteria and archaea,1661,3.05,3.16,2.08,-0.26,-0.22,0.14,-0.18,NA,NA,Chloroflexi,P2-11E,NA
bacteria and archaea,1035,3.94,3.26,3.11,-0.18,-0.03,0.14,-0.31,RB41,Pyrinomonadaceae,Acidobacteria,Blastocatellia,Pyrinomonadales
bacteria and archaea,1312,3.73,4.3,3.8,-0.04,0.12,0.14,-0.33,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,298,3.61,3.56,3.09,-0.1,0.04,0.14,-0.33,NA,NA,Acidobacteria,Holophagae,Subgroup 7
bacteria and archaea,670,3.22,NA,NA,0.07,0.09,0.14,-0.24,Acidiphilium,Acetobacteraceae,Proteobacteria,Alphaproteobacteria,Acetobacterales
bacteria and archaea,994,NA,2.88,NA,0.15,0.29,0.14,-0.01,Roseisolibacter,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,1243,NA,3.93,NA,-0.05,0.09,0.14,-0.31,NA,NA,Chloroflexi,AD3,NA
bacteria and archaea,570,3.71,3.33,3.08,-0.27,-0.22,0.14,-0.25,Haliangium,Haliangiaceae,Myxococcota,Polyangia,Haliangiales
bacteria and archaea,1182,NA,3.7,NA,-0.07,0.02,0.14,0.09,Candidatus Solibacter,Solibacteraceae,Acidobacteria,Acidobacteriae,Solibacterales
bacteria and archaea,469,5.2,4.88,4.73,-0.07,0.02,0.14,-0.1,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,547,2.93,2.58,3.22,-0.1,0.03,0.14,-0.08,NA,NA,Acidobacteria,Vicinamibacteria,Subgroup 17
bacteria and archaea,1343,3.73,3.37,3.8,-0.04,-0.01,0.14,-0.18,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,1080,4.26,4.12,3.62,-0.26,-0.2,0.13,-0.29,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,504,3.74,3.93,NA,-0.02,0.09,0.13,-0.15,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,721,NA,3.52,NA,0.11,0.26,0.13,0.06,NA,Micropepsaceae,Proteobacteria,Alphaproteobacteria,Micropepsales
bacteria and archaea,1148,3.73,3.62,3.42,-0.17,-0.15,0.13,-0.25,Bryobacter,Bryobacteraceae,Acidobacteria,Acidobacteriae,Bryobacterales
bacteria and archaea,116,NA,3.67,NA,-0.03,0.09,0.13,NA,Zavarzinella,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,252,NA,3.64,NA,-0.04,0.09,0.13,-0.08,NA,Mitochondria,Proteobacteria,Alphaproteobacteria,Rickettsiales
bacteria and archaea,202,3.87,4.79,NA,-0.2,-0.04,0.13,-0.15,Actinoplanes,Micromonosporaceae,Actinobacteria,Actinobacteria,Micromonosporales
bacteria and archaea,1399,NA,3.66,NA,-0.12,-0.01,0.13,-0.07,NA,NA,Actinobacteria,Thermoleophilia,NA
bacteria and archaea,459,3.72,3.96,3.26,-0.3,-0.22,0.13,-0.19,Chthoniobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,1617,5.26,4.89,5.01,-0.17,-0.09,0.13,-0.37,NA,NA,Chloroflexi,KD4-96,NA
bacteria and archaea,1124,3.69,4.43,3.75,-0.06,0.06,0.13,-0.06,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,1434,3.53,NA,NA,-0.26,-0.26,0.13,-0.16,Xylophilus,Comamonadaceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,211,4.43,3.92,2.91,0.07,0.05,0.13,-0.14,Asanoa,Micromonosporaceae,Actinobacteria,Actinobacteria,Micromonosporales
bacteria and archaea,446,3.88,3.73,3.58,-0.2,-0.13,0.13,-0.29,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,1380,3.67,3.4,3.41,-0.22,-0.15,0.13,-0.35,HSB OF53-F07,Ktedonobacteraceae,Chloroflexi,Ktedonobacteria,Ktedonobacterales
bacteria and archaea,792,3.4,3.5,NA,-0.01,0.05,0.13,0.01,Granulicella,Acidobacteriaceae (Subgroup 1),Acidobacteria,Acidobacteriae,Acidobacteriales
bacteria and archaea,522,4.05,3.43,NA,-0.34,-0.29,0.13,-0.19,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,799,3.02,3.54,3.6,0.01,0.08,0.13,-0.13,Occallatibacter,Acidobacteriaceae (Subgroup 1),Acidobacteria,Acidobacteriae,Acidobacteriales
bacteria and archaea,275,NA,4.05,NA,-0.1,NA,0.13,-0.23,NA,NA,Cyanobacteria,Cyanobacteriia,Chloroplast
bacteria and archaea,695,4.13,3.99,3.47,-0.16,-0.04,0.13,-0.33,Phenylobacterium,Caulobacteraceae,Proteobacteria,Alphaproteobacteria,Caulobacterales
bacteria and archaea,1002,3.27,4.26,NA,-0.36,-0.36,0.13,-0.28,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,1288,3.58,4.19,3.53,-0.1,0.01,0.13,-0.29,Conexibacter,Solirubrobacteraceae,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,468,5.98,5.35,5.45,-0.23,-0.22,0.13,-0.29,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,105,NA,3.84,NA,0.11,0.22,0.13,-0.04,Nitrospira,Nitrospiraceae,Nitrospirota,Nitrospiria,Nitrospirales
bacteria and archaea,1020,3.81,NA,NA,-0.12,-0.15,0.13,-0.14,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,373,4.12,4.17,4.01,-0.24,-0.09,0.13,-0.3,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,299,3.92,4.84,3.55,-0.02,0.01,0.13,-0.22,NA,NA,Acidobacteria,Holophagae,Subgroup 7
bacteria and archaea,315,3.01,NA,NA,-0.11,-0.06,0.13,0.01,Vicinamibacter,Vicinamibacteraceae,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,512,4.7,4.18,4.66,-0.01,0.11,0.13,0,Chthoniobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,1402,3.76,3.62,3.09,-0.07,0.13,0.13,-0.26,NA,NA,Actinobacteria,Thermoleophilia,NA
bacteria and archaea,954,2.46,2.28,2.1,-0.06,-0.02,0.13,-0.19,NA,NA,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,1204,3.72,3.49,3.8,-0.12,-0.11,0.13,-0.32,NA,67-14,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,526,5.33,4.81,4.94,-0.22,-0.06,0.13,-0.24,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,592,3.37,3.44,3.14,-0.02,0.01,0.13,-0.16,NA,URHD0088,Proteobacteria,Alphaproteobacteria,Elsterales
bacteria and archaea,1558,4.22,NA,NA,-0.33,-0.28,0.13,-0.02,Ellin6067,Nitrosomonadaceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,629,3.78,NA,3.58,-0.1,-0.13,0.13,-0.3,NA,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,442,6.09,6.11,6.01,-0.07,0.03,0.12,-0.29,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,1578,3.62,3.73,3.33,-0.1,-0.04,0.12,-0.2,MND1,Nitrosomonadaceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,217,NA,3.37,2.94,-0.01,0.11,0.12,-0.18,NA,Micromonosporaceae,Actinobacteria,Actinobacteria,Micromonosporales
bacteria and archaea,1118,3.76,3.5,3.78,-0.35,-0.32,0.12,-0.26,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,1194,NA,3.43,2.94,0.03,0.15,0.12,0.2,Stenotrophobacter,Blastocatellaceae,Acidobacteria,Blastocatellia,Blastocatellales
bacteria and archaea,478,3.22,2.77,3.09,-0.05,-0.05,0.12,-0.03,Chthoniobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,1593,3.5,3.61,3.17,-0.11,-0.1,0.12,0.18,Pseudonocardia,Pseudonocardiaceae,Actinobacteria,Actinobacteria,Pseudonocardiales
bacteria and archaea,1033,3.22,2.91,2.52,-0.33,-0.35,0.12,-0.25,NA,NA,Latescibacterota,NA,NA
bacteria and archaea,4,3.57,NA,3.74,-0.19,-0.18,0.12,-0.35,NA,Anaerolineaceae,Chloroflexi,Anaerolineae,Anaerolineales
bacteria and archaea,1358,2.8,3.64,2.93,0.02,0.07,0.12,-0.12,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,1172,4.02,3.95,3.98,-0.08,0.03,0.12,-0.16,Bryobacter,Bryobacteraceae,Acidobacteria,Acidobacteriae,Bryobacterales
bacteria and archaea,562,3.27,3.26,NA,-0.1,0.02,0.12,-0.43,Haliangium,Haliangiaceae,Myxococcota,Polyangia,Haliangiales
bacteria and archaea,1042,3.99,4.38,4.3,-0.24,-0.12,0.12,-0.32,RB41,Pyrinomonadaceae,Acidobacteria,Blastocatellia,Pyrinomonadales
bacteria and archaea,387,4.32,4.25,NA,-0.43,-0.38,0.12,-0.18,NA,NA,Acidobacteria,Acidobacteriae,Acidobacteriales
bacteria and archaea,1527,3.24,2.93,2.3,-0.21,-0.07,0.12,-0.11,MND1,Nitrosomonadaceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,945,3.48,NA,3.81,-0.22,-0.16,0.12,-0.17,Terrimonas,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,134,3.27,3.35,3.37,-0.19,-0.18,0.12,-0.28,NA,Isosphaeraceae,Planctomycetota,Planctomycetes,Isosphaerales
bacteria and archaea,673,3.47,3.43,2.48,-0.13,-0.04,0.12,-0.24,NA,Acetobacteraceae,Proteobacteria,Alphaproteobacteria,Acetobacterales
bacteria and archaea,1344,4.06,3.8,3.69,-0.13,-0.01,0.12,-0.12,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,917,NA,3.81,NA,-0.01,0.16,0.12,0.09,Segetibacter,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,269,3.63,3.62,2.91,0.1,0.1,0.12,-0.2,NA,Roseiflexaceae,Chloroflexi,Chloroflexia,Chloroflexales
bacteria and archaea,278,3.86,2.4,3.71,0.03,0.08,0.12,-0.09,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,1315,3.43,3.22,NA,-0.34,-0.29,0.12,-0.31,Gaiella,Gaiellaceae,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,1346,4.22,4.5,4.04,-0.03,0.09,0.12,-0.18,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,1324,NA,3.85,4.06,-0.07,0.03,0.12,-0.31,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,1139,5.79,5.66,5.43,-0.05,0.09,0.12,-0.31,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,674,3.48,3.93,3.21,-0.13,-0.41,0.12,-0.01,NA,Acetobacteraceae,Proteobacteria,Alphaproteobacteria,Acetobacterales
bacteria and archaea,295,4.44,5,4.78,0.1,0.26,0.12,-0.19,NA,NA,Acidobacteria,Holophagae,Subgroup 7
bacteria and archaea,334,3.1,3.37,2.31,-0.24,-0.1,0.11,-0.29,NA,Myxococcaceae,Myxococcota,Myxococcia,Myxococcales
bacteria and archaea,30,3,3.61,NA,-0.2,-0.18,0.11,-0.24,NA,NA,Actinobacteria,MB-A2-108,NA
bacteria and archaea,490,4.26,NA,NA,0.13,0.16,0.11,-0.06,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
