Community,Taxon ID,Taxon name,Phylum,Family,Control measure,High control,Mid control,Low control,Warmed gradient PRC weight,Warmed experiment PRC weight,Cooled gradient PRC weight,Cooled experiment PRC weight,Selected among top 15 for
Bacteria/Archaea,1547,NA,Proteobacteria,SC-I-84,Mean log-transformed abundance,3.3,3.37,NA,-0.54,-0.46,0.3,-0.29,Warmed gradient; Warmed experiment
Bacteria/Archaea,1534,NA,Proteobacteria,SC-I-84,Mean log-transformed abundance,4,3.65,2.98,-0.43,-0.29,0.53,-0.41,Cooled gradient
Bacteria/Archaea,1010,Gemmatimonas,Gemmatimonadota,Gemmatimonadaceae,Mean log-transformed abundance,NA,NA,4.05,0.52,0.42,-0.36,0.02,Warmed gradient
Bacteria/Archaea,1055,RB41,Acidobacteria,Pyrinomonadaceae,Mean log-transformed abundance,3.94,4.74,NA,-0.48,-0.52,0.44,NA,Warmed experiment
Bacteria/Archaea,1648,NA,Acidobacteria,NA,Mean log-transformed abundance,3.7,3.89,3.22,-0.52,-0.43,0.45,-0.27,Warmed gradient
Bacteria/Archaea,894,NA,Proteobacteria,NA,Mean log-transformed abundance,3.63,3.24,2.55,-0.52,-0.46,0.43,-0.28,Warmed gradient; Warmed experiment
Bacteria/Archaea,984,NA,Gemmatimonadota,Gemmatimonadaceae,Mean log-transformed abundance,4,4.09,3.42,-0.36,-0.21,0.52,-0.27,Cooled gradient
Bacteria/Archaea,10,NA,Latescibacterota,NA,Mean log-transformed abundance,3.73,3.14,NA,-0.51,-0.45,0.42,-0.36,Warmed gradient; Warmed experiment
Bacteria/Archaea,113,NA,Planctomycetota,Gemmataceae,Mean log-transformed abundance,3.16,3.47,NA,-0.48,-0.45,0.51,-0.11,Warmed experiment; Cooled gradient
Bacteria/Archaea,1167,Bryobacter,Acidobacteria,Bryobacteraceae,Mean log-transformed abundance,3.73,3.64,3.83,-0.51,-0.51,0.28,-0.2,Warmed gradient; Warmed experiment
Bacteria/Archaea,1316,Gaiella,Actinobacteria,Gaiellaceae,Mean log-transformed abundance,3.27,3.45,NA,-0.47,-0.33,0.51,-0.25,Cooled gradient
Bacteria/Archaea,990,NA,Gemmatimonadota,Gemmatimonadaceae,Mean log-transformed abundance,3.58,3.27,NA,-0.51,-0.44,0.33,-0.41,Warmed gradient
Bacteria/Archaea,1001,NA,Gemmatimonadota,Gemmatimonadaceae,Mean log-transformed abundance,3.84,3.83,NA,-0.5,-0.44,0.34,-0.29,Warmed gradient
Bacteria/Archaea,1452,NA,Proteobacteria,NA,Mean log-transformed abundance,3.84,3.52,2.94,-0.27,-0.11,0.5,0.04,Cooled gradient
Bacteria/Archaea,1663,NA,Proteobacteria,Mitochondria,Mean log-transformed abundance,3.39,1.59,NA,-0.5,-0.45,0.43,-0.15,Warmed gradient; Warmed experiment
Bacteria/Archaea,167,NA,Planctomycetota,Gemmataceae,Mean log-transformed abundance,3.48,3.03,2.24,-0.5,-0.41,0.37,-0.25,Warmed gradient
Bacteria/Archaea,372,Gemmatimonas,Gemmatimonadota,Gemmatimonadaceae,Mean log-transformed abundance,3.33,3.48,3.67,-0.18,-0.04,0.25,-0.5,Cooled experiment
Bacteria/Archaea,42,NA,Planctomycetota,WD2101 soil group,Mean log-transformed abundance,4.22,4.14,NA,-0.29,-0.19,0.5,-0.27,Cooled gradient
Bacteria/Archaea,529,Candidatus Udaeobacter,Verrucomicrobiota,Chthoniobacteraceae,Mean log-transformed abundance,4.42,4.1,NA,-0.28,-0.1,0.5,-0.24,Cooled gradient
Bacteria/Archaea,733,NA,Proteobacteria,Micropepsaceae,Mean log-transformed abundance,3.74,3.64,NA,-0.5,-0.46,0.4,-0.21,Warmed gradient; Warmed experiment
Bacteria/Archaea,1112,NA,Acidobacteria,NA,Mean log-transformed abundance,3.53,3.3,3.09,-0.49,-0.46,0.48,-0.31,Warmed gradient; Warmed experiment
Bacteria/Archaea,224,NA,Actinobacteria,NA,Mean log-transformed abundance,3.69,3.83,2.48,-0.34,-0.21,0.49,-0.2,Cooled gradient
