turfID,originPlotID,originSite,originSiteBlock,block,treatment,treatmentOrigin,date_yyyymmdd,unknownMorpho,species,count,comments
pf4-2_ws_pf4-3,pf4-3,Pfeiler,Pfeiler4,4,within site transplant,within site transplant Pfeiler,20171107,Lathyrus lanszwertii,Lathyrus lanszwertii,6,
um5-4_w1_pf5-3,pf5-3,Pfeiler,Pfeiler5,5,warmed one step,warmed one step Pfeiler,20171107,Lathyrus lanszwertii,Lathyrus lanszwertii,0,
mo1-1_c1_pf1-3,pf1-3,Pfeiler,Pfeiler1,1,cooled one step,cooled one step Pfeiler,20171107,Ligustacum porteri,Ligusticum porteri,0,
mo2-5_c1_pf2-3,pf2-3,Pfeiler,Pfeiler2,2,cooled one step,cooled one step Pfeiler,20171107,Ligustacum porteri,Ligusticum porteri,2,
pf3-2_ws_pf3-3,pf3-3,Pfeiler,Pfeiler3,3,within site transplant,within site transplant Pfeiler,20171107,Ligustacum porteri,Ligusticum porteri,2,
pf4-2_ws_pf4-3,pf4-3,Pfeiler,Pfeiler4,4,within site transplant,within site transplant Pfeiler,20171107,Ligustacum porteri,Ligusticum porteri,1,
um5-4_w1_pf5-3,pf5-3,Pfeiler,Pfeiler5,5,warmed one step,warmed one step Pfeiler,20171107,Ligustacum porteri,Ligusticum porteri,5,
mo1-1_c1_pf1-3,pf1-3,Pfeiler,Pfeiler1,1,cooled one step,cooled one step Pfeiler,20171107,mint grass,Poa reflexa,0,
mo2-5_c1_pf2-3,pf2-3,Pfeiler,Pfeiler2,2,cooled one step,cooled one step Pfeiler,20171107,mint grass,Poa reflexa,13,
pf3-2_ws_pf3-3,pf3-3,Pfeiler,Pfeiler3,3,within site transplant,within site transplant Pfeiler,20171107,mint grass,Poa reflexa,41,
pf4-2_ws_pf4-3,pf4-3,Pfeiler,Pfeiler4,4,within site transplant,within site transplant Pfeiler,20171107,mint grass,Poa reflexa,42,
um5-4_w1_pf5-3,pf5-3,Pfeiler,Pfeiler5,5,warmed one step,warmed one step Pfeiler,20171107,mint grass,Poa reflexa,0,
mo1-1_c1_pf1-3,pf1-3,Pfeiler,Pfeiler1,1,cooled one step,cooled one step Pfeiler,20171107,Bromelica spectabilis,Melica spectabilis,0,by seedhead
mo2-5_c1_pf2-3,pf2-3,Pfeiler,Pfeiler2,2,cooled one step,cooled one step Pfeiler,20171107,Bromelica spectabilis,Melica spectabilis,4,by seedhead
pf3-2_ws_pf3-3,pf3-3,Pfeiler,Pfeiler3,3,within site transplant,within site transplant Pfeiler,20171107,Bromelica spectabilis,Melica spectabilis,10,by seedhead
pf4-2_ws_pf4-3,pf4-3,Pfeiler,Pfeiler4,4,within site transplant,within site transplant Pfeiler,20171107,Bromelica spectabilis,Melica spectabilis,0,by seedhead
um5-4_w1_pf5-3,pf5-3,Pfeiler,Pfeiler5,5,warmed one step,warmed one step Pfeiler,20171107,Bromelica spectabilis,Melica spectabilis,0,by seedhead
mo1-1_c1_pf1-3,pf1-3,Pfeiler,Pfeiler1,1,cooled one step,cooled one step Pfeiler,20171107,Erigeron speciosus,Erigeron speciosus,0,
mo2-5_c1_pf2-3,pf2-3,Pfeiler,Pfeiler2,2,cooled one step,cooled one step Pfeiler,20171107,Erigeron speciosus,Erigeron speciosus,4,
pf3-2_ws_pf3-3,pf3-3,Pfeiler,Pfeiler3,3,within site transplant,within site transplant Pfeiler,20171107,Erigeron speciosus,Erigeron speciosus,0,
pf4-2_ws_pf4-3,pf4-3,Pfeiler,Pfeiler4,4,within site transplant,within site transplant Pfeiler,20171107,Erigeron speciosus,Erigeron speciosus,0,
um5-4_w1_pf5-3,pf5-3,Pfeiler,Pfeiler5,5,warmed one step,warmed one step Pfeiler,20171107,Erigeron speciosus,Erigeron speciosus,0,
mo1-1_c1_pf1-3,pf1-3,Pfeiler,Pfeiler1,1,cooled one step,cooled one step Pfeiler,20171107,Carex sp,Carex sp.,0,by tillers
mo2-5_c1_pf2-3,pf2-3,Pfeiler,Pfeiler2,2,cooled one step,cooled one step Pfeiler,20171107,Carex sp,Carex sp.,93,by tillers
pf3-2_ws_pf3-3,pf3-3,Pfeiler,Pfeiler3,3,within site transplant,within site transplant Pfeiler,20171107,Carex sp,Carex sp.,0,by tillers
pf4-2_ws_pf4-3,pf4-3,Pfeiler,Pfeiler4,4,within site transplant,within site transplant Pfeiler,20171107,Carex sp,Carex sp.,0,by tillers
um5-4_w1_pf5-3,pf5-3,Pfeiler,Pfeiler5,5,warmed one step,warmed one step Pfeiler,20171107,Carex sp,Carex sp.,0,by tillers
mo1-1_c1_pf1-3,pf1-3,Pfeiler,Pfeiler1,1,cooled one step,cooled one step Pfeiler,20171107,Unknown 3 yellow mustard tiny,Draba albertina,0,
mo2-5_c1_pf2-3,pf2-3,Pfeiler,Pfeiler2,2,cooled one step,cooled one step Pfeiler,20171107,Unknown 3 yellow mustard tiny,Draba albertina,0,
pf3-2_ws_pf3-3,pf3-3,Pfeiler,Pfeiler3,3,within site transplant,within site transplant Pfeiler,20171107,Unknown 3 yellow mustard tiny,Draba albertina,1,
pf4-2_ws_pf4-3,pf4-3,Pfeiler,Pfeiler4,4,within site transplant,within site transplant Pfeiler,20171107,Unknown 3 yellow mustard tiny,Draba albertina,0,
um5-4_w1_pf5-3,pf5-3,Pfeiler,Pfeiler5,5,warmed one step,warmed one step Pfeiler,20171107,Unknown 3 yellow mustard tiny,Draba albertina,0,
mo1-1_c1_pf1-3,pf1-3,Pfeiler,Pfeiler1,1,cooled one step,cooled one step Pfeiler,20171107,Achillea millefolium,Achillea millefolium,0,
mo2-5_c1_pf2-3,pf2-3,Pfeiler,Pfeiler2,2,cooled one step,cooled one step Pfeiler,20171107,Achillea millefolium,Achillea millefolium,0,
pf3-2_ws_pf3-3,pf3-3,Pfeiler,Pfeiler3,3,within site transplant,within site transplant Pfeiler,20171107,Achillea millefolium,Achillea millefolium,0,
pf4-2_ws_pf4-3,pf4-3,Pfeiler,Pfeiler4,4,within site transplant,within site transplant Pfeiler,20171107,Achillea millefolium,Achillea millefolium,0,
um5-4_w1_pf5-3,pf5-3,Pfeiler,Pfeiler5,5,warmed one step,warmed one step Pfeiler,20171107,Achillea millefolium,Achillea millefolium,1,
mo1-1_c1_pf1-3,pf1-3,Pfeiler,Pfeiler1,1,cooled one step,cooled one step Pfeiler,20171107,Frageria virginiana,Fragaria virginiana,0,by tri-leaf
mo2-5_c1_pf2-3,pf2-3,Pfeiler,Pfeiler2,2,cooled one step,cooled one step Pfeiler,20171107,Frageria virginiana,Fragaria virginiana,0,by tri-leaf
pf3-2_ws_pf3-3,pf3-3,Pfeiler,Pfeiler3,3,within site transplant,within site transplant Pfeiler,20171107,Frageria virginiana,Fragaria virginiana,0,by tri-leaf
pf4-2_ws_pf4-3,pf4-3,Pfeiler,Pfeiler4,4,within site transplant,within site transplant Pfeiler,20171107,Frageria virginiana,Fragaria virginiana,0,by tri-leaf
um5-4_w1_pf5-3,pf5-3,Pfeiler,Pfeiler5,5,warmed one step,warmed one step Pfeiler,20171107,Frageria virginiana,Fragaria virginiana,83,by tri-leaf
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Lathyrus lanszwertii,Lathyrus lanszwertii,130,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Lathyrus lanszwertii,Lathyrus lanszwertii,94,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Lathyrus lanszwertii,Lathyrus lanszwertii,34,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Lathyrus lanszwertii,Lathyrus lanszwertii,59,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Lathyrus lanszwertii,Lathyrus lanszwertii,0,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Potentilla gracilis,Potentilla pulcherrima,13,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Potentilla gracilis,Potentilla pulcherrima,6,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Potentilla gracilis,Potentilla pulcherrima,19,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Potentilla gracilis,Potentilla pulcherrima,24,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Potentilla gracilis,Potentilla pulcherrima,7,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Delphinium nuttallianum,Delphinium nuttallianum,7,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Delphinium nuttallianum,Delphinium nuttallianum,3,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Delphinium nuttallianum,Delphinium nuttallianum,2,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Delphinium nuttallianum,Delphinium nuttallianum,0,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Delphinium nuttallianum,Delphinium nuttallianum,0,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Androsace septentrionalis,Androsace septentrionalis,0,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Androsace septentrionalis,Androsace septentrionalis,0,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Androsace septentrionalis,Androsace septentrionalis,1,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Androsace septentrionalis,Androsace septentrionalis,1,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Androsace septentrionalis,Androsace septentrionalis,0,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Bromelica spectabilis,Melica spectabilis,21,by tillers
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Bromelica spectabilis,Melica spectabilis,4,by tillers
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Bromelica spectabilis,Melica spectabilis,2,by tillers
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Bromelica spectabilis,Melica spectabilis,0,by tillers
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Bromelica spectabilis,Melica spectabilis,3,by tillers
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Long awn grass,Stipa nelsonii,3,counted by bunch
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Long awn grass,Stipa nelsonii,0,counted by bunch
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,"Long awn grass, grass 5 thin dense",Stipa nelsonii,6,counted by bunch
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Long awn grass,Stipa nelsonii,0,counted by bunch
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,"Long awn grass, grass 5 thin dense",Stipa nelsonii,4,counted by bunch
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Broadleaf grass4,Bromus carinatus,12,counted by tiller
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Broadleaf grass4,Bromus carinatus,8,counted by tiller
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Broadleaf grass4,Bromus carinatus,9,counted by tiller
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Broadleaf grass4,Bromus carinatus,11,counted by tiller
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Broadleaf grass4,Bromus carinatus,16,counted by tiller
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,grass 5 thin dense,Stipa nelsonii,0,counted by bunch
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,grass 5 thin dense,Stipa nelsonii,2,counted by bunch
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,grass 5 thin dense,Stipa nelsonii,0,counted by bunch
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,"Poa ish, unknown grass (no seed head)",Poa pratensis,87,counted by tiller
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,"Poa ish, Unknown grass (no seed head)",Poa pratensis,82,counted by tiller
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,"Poa ish, unknown grass (no seed head)",Poa pratensis,115,counted by tiller
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,"Poa ish, unknown grass (no seed head)",Poa pratensis,48,counted by tiller
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,"Poa ish, Unknown grass (no seed head)",Poa pratensis,115,counted by tiller
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Mertensia fusiformis,Mertensia fusiformis,4,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Mertensia fusiformis,Mertensia fusiformis,1,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Mertensia fusiformis,Mertensia fusiformis,0,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Mertensia fusiformis,Mertensia fusiformis,2,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Mertensia fusiformis,Mertensia fusiformis,0,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Achillea millefolium,Achillea millefolium,56,counted individuals
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Achillea millefolium,Achillea millefolium,48,counted individuals
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Achillea millefolium,Achillea millefolium,103,counted individuals
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Achillea millefolium,Achillea millefolium,10,counted individuals
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Achillea millefolium,Achillea millefolium,27,counted individuals
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Viola sp,Viola nuttallii,11,counted by clump
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Viola sp,Viola nuttallii,3,counted by clump
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Viola sp,Viola nuttallii,7,counted by clump
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Viola sp,Viola nuttallii,3,counted by clump
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Viola sp,Viola nuttallii,6,counted by clump
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Collomia linearis,Collomia linearis,49,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Collomia linearis,Collomia linearis,7,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Collomia linearis,Collomia linearis,0,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Collomia linearis,Collomia linearis,0,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Collomia linearis,Collomia linearis,1,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Tragopogon dubius,Tragopogon dubius,1,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Tragopogon dubius,Tragopogon dubius,0,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Tragopogon dubius,Tragopogon dubius,0,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Tragopogon dubius,Tragopogon dubius,0,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Tragopogon dubius,Tragopogon dubius,0,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Carex sp,Carex sp.,2,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Carex sp,Carex sp.,0,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Carex sp,Carex sp.,0,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Carex sp,Carex sp.,4,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Carex sp,Carex sp.,46,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Unknown 5,Agoseris aurantiaca,0,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Unknown 5,Agoseris aurantiaca,1,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Unknown 5,Agoseris aurantiaca,1,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Unknown 5,Agoseris aurantiaca,0,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Unknown 5,Agoseris aurantiaca,7,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Unknown 4 bigger yellow mustard,Draba spectabilis,0,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Unknown 4 bigger yellow mustard,Draba spectabilis,2,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Unknown 4 bigger yellow mustard,Draba spectabilis,0,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Unknown 4 bigger yellow mustard,Draba spectabilis,9,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Unknown 4 bigger yellow mustard,Draba spectabilis,0,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Unknown 10 Mini Fruits,Galium bifolium,0,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Unknown 10 Mini Fruits,Galium bifolium,24,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Unknown 10 Mini Fruits,Galium bifolium,0,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Unknown 10 Mini Fruits,Galium bifolium,0,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Unknown 10 Mini Fruits,Galium bifolium,0,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Valeriana capitata,Valeriana occidentalis,0,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Valeriana capitata,Valeriana occidentalis,6,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Valeriana capitata,Valeriana occidentalis,0,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Valeriana capitata,Valeriana occidentalis,18,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Valeriana capitata,Valeriana occidentalis,23,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Unknown 8,Heliomeris multiflora,0,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Unknown 8,Heliomeris multiflora,18,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Unknown 8,Heliomeris multiflora,0,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Unknown 8,Heliomeris multiflora,0,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Unknown 8,Heliomeris multiflora,0,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Linum lewisii,Linum lewisii,4,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Linum lewisii,Linum lewisii,2,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Linum lewisii,Linum lewisii,16,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Linum lewisii,Linum lewisii,0,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Linum lewisii,Linum lewisii,0,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Taraxacum officinale,Taraxacum officinale,0,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Taraxacum officinale,Taraxacum officinale,0,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Taraxacum officinale,Taraxacum officinale,3,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Taraxacum officinale,Taraxacum officinale,0,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Taraxacum officinale,Taraxacum officinale,0,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Erigeron speciosus,Erigeron speciosus,0,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Erigeron speciosus,Erigeron speciosus,0,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Erigeron speciosus,Erigeron speciosus,21,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Erigeron speciosus,Erigeron speciosus,0,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Erigeron speciosus,Erigeron speciosus,0,
um1-3_u_um1-3,um1-3,Upper Montane,Upper Montane1,1,untouched,untouched Upper Montane,20170607,Hymenoxys hoopesii,Hymenoxys hoopesii,0,
mo2-3_c2_um2-3,um2-3,Upper Montane,Upper Montane2,2,cooled two steps,cooled two steps Upper Montane,20170607,Hymenoxys hoopesii,Hymenoxys hoopesii,0,
um3-3_ws_um3-3,um3-3,Upper Montane,Upper Montane3,3,within site transplant,within site transplant Upper Montane,20170607,Hymenoxys hoopesii,Hymenoxys hoopesii,0,
um4-3_nu_um4-3,um4-3,Upper Montane,Upper Montane4,4,netted untouched,netted untouched Upper Montane,20170607,Hymenoxys hoopesii,Hymenoxys hoopesii,22,
um5-3_u_um5-3,um5-3,Upper Montane,Upper Montane5,5,untouched,untouched Upper Montane,20170607,Hymenoxys hoopesii,Hymenoxys hoopesii,6,
