turfID,originSite,destinationSite,destinationPlotID,originPlotID,treatment,treatmentOrigin,treatmentOriginGroup,year,date_yyyymmdd,functionalGroup,unknownMorpho,species,percentCover,occurrenceCount,comments,X1_1,X1_2,X1_3,X1_4,X1_5,X2_1,X2_2,X2_3,X2_4,X2_5,X3_1,X3_2,X3_3,X3_4,X3_5,X4_1,X4_2,X4_3,X4_4,X4_5,X5_1,X5_2,X5_3,X5_4,X5_5
um1-3_u_um1-3,Upper Montane,Upper Montane,um1-3,um1-3,untouched,untouched Upper Montane,Low Control,2019,20190708,graminoid,Poa pratensis,Poa pratensis,1,18,,,,F,S,S,,,S,S,S,S,S,S,S,S,F,S,S,S,,S,,F,,S
um1-3_u_um1-3,Upper Montane,Upper Montane,um1-3,um1-3,untouched,untouched Upper Montane,Low Control,2019,20190708,forb,Potentilla pulcherrima,Potentilla pulcherrima,4,9,,,,,S,,F,,,F,SD,F,S,F,,FD,,,,,,,,,F,
um1-3_u_um1-3,Upper Montane,Upper Montane,um1-3,um1-3,untouched,untouched Upper Montane,Low Control,2019,20190708,graminoid,Stipa nelsonii,Stipa nelsonii,3,4,"Verified in 1-1, 1-2, 2-1 and added to 3-5 after seeing in field 7-28-19",S,S,,,,S,,,,,,,,,S,,,,,,,,,,
um1-3_u_um1-3,Upper Montane,Upper Montane,um1-3,um1-3,untouched,untouched Upper Montane,Low Control,2019,20190708,forb,Tragopogon dubius,Tragopogon dubius,1,1,,,,,,,,,,,,,,,,,,,S,,,,,,,
um1-3_u_um1-3,Upper Montane,Upper Montane,um1-3,um1-3,untouched,untouched Upper Montane,Low Control,2019,20190708,forb,Viola sp.,Viola nuttallii,30,21,,FD,FD,SD,SD,SD,SD,S,F,SD,S,F,S,S,,SE,FD,S,SD,S,,,S,SD,S,
um1-3_u_um1-3,Upper Montane,Upper Montane,um1-3,um1-3,untouched,untouched Upper Montane,Low Control,2019,20190708,forb,Unknown seedling,unknown seedling,1,3,,SE,,,SE,,,,,,,,,,,,,,,,SE,,,,,
um1-3_u_um1-3,Upper Montane,Upper Montane,um1-3,um1-3,untouched,untouched Upper Montane,Low Control,2019,20190708,forb,Vicia americana,Vicia americana,1,1,,,,S,,,,,,,,,,,,,,,,,,,,,,
um1-3_u_um1-3,Upper Montane,Upper Montane,um1-3,um1-3,untouched,untouched Upper Montane,Low Control,2019,20190708,forb,Delphinium nuttallianum,Delphinium nuttallianum,1,14,,,,S,F,F,S,,S,F,,,F,S,F,,S,,S,,,,S,,S,S
um1-3_u_um1-3,Upper Montane,Upper Montane,um1-3,um1-3,untouched,untouched Upper Montane,Low Control,2019,20190708,forb,Alternate long leaf forb,Polygonum douglasii,1,6,,,,,,,,S,,,,,S,,,,,,S,S,,,,S,,S
um1-3_u_um1-3,Upper Montane,Upper Montane,um1-3,um1-3,untouched,untouched Upper Montane,Low Control,2019,20190708,forb,Collomia linearis,Collomia linearis,1,1,Verified that all are linearis on 7-28-19,,,,,,,S,,,,,,,,,,,,,,,,,,
um1-3_u_um1-3,Upper Montane,Upper Montane,um1-3,um1-3,untouched,untouched Upper Montane,Low Control,2019,20190708,forb,Helianthella quinquenervis,Helianthella quinquenervis,1,1,,,,,,,,S,,,,,,,,,,,,,,,,,,
um1-3_u_um1-3,Upper Montane,Upper Montane,um1-3,um1-3,untouched,untouched Upper Montane,Low Control,2019,20190708,forb,Senecio fuzzy,Senecio integerrimus,4,3,,,,,,,,,,,,,,,,,,SD,,,,SD,,,S,
um1-3_u_um1-3,Upper Montane,Upper Montane,um1-3,um1-3,untouched,untouched Upper Montane,Low Control,2019,20190708,forb,Salty unknown,Atriplex argentea,1,1,,,,,,,,,,,,,,,,,,,,,,,SE,,,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Achillea millefolium,Achillea millefolium,1,4,,,,,S,,,,,,S,S,,,,,,,,,,S,,,,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Bromus carinatus,Bromus carinatus,1,2,Bromus on 1-1 verified after seeing Fertile on July 22. Bromus in 2-1 verified on 7-28.,S,,,,,S,,,,,,,,,,,,,,,,,,,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Erigeron speciosus,Erigeron speciosus,4,6,,,SD,S,,S,,S,,S,S,,,,,,,,,,,,,,,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Helianthella quinquenervis,Helianthella quinquenervis,5,8,,,,,S,,,S,,S,,,SE,S,SD,,,,,S,S,,,,,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Heliomeris multiflora,Heliomeris multiflora,1,7,,,,,S,,,,,,S,S,S,,,S,,,,S,S,,,,,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Lathyrus lanszwertii,Lathyrus lanszwertii,1,5,,S,,,,S,,,,,,F,,,,,,,,,,F,,,S,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,graminoid,Melica spectabilis,Melica spectabilis,4,17,,S,S,S,S,F,F,,,,F,S,F,FD,F,S,,F,F,F,F,,,,,F
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,graminoid,Poa pratensis,Poa pratensis,2,23,,F,S,S,S,F,,S,S,S,S,S,S,S,S,S,S,F,,S,F,S,S,F,F,F
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Potentilla pulcherrima,Potentilla pulcherrima,5,6,,S,,,,,,,,,,,S,,,S,,,,F,,,,,SD,S
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,graminoid,Stipa nelsonii,Stipa nelsonii,1,1,Stipa verified in 5-5 on 7-28.,,,,,,,,,,,,,,,,,,,,,,,,,S
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Taraxacum officinale,Taraxacum officinale,10,9,,FD,,F,,FD,FD,S,,F,,,S,,,,FD,,,,,,,,S,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Tragopogon dubius,Tragopogon dubius,1,3,,,,,,,,,,,,,,,,,S,,,S,,,,,S,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Vicia americana,Vicia americana,1,1,,,,,,,,,,,,,S,,,,,,,,,,,,,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Viola sp.,Viola nuttallii,16,16,,,S,SD,SD,S,S,,S,SD,SD,,,S,S,SD,,,,,S,SE,,S,S,S
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Senecio fuzzy,Senecio integerrimus,4,6,,S,S,,,,,,,,,SD,,,,S,,,,FD,SD,,,,,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Lithophragma glabrum,Lithophragma glabrum,1,1,,,F,,,,,,,,,,,,,,,,,,,,,,,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Delphinium nuttallianum,Delphinium nuttallianum,4,18,,,,,F,S,S,,FD,S,S,,F,F,F,F,S,S,,S,S,F,S,S,,FD
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Claytonia lanceolata,Claytonia lanceolata,1,5,,,,,,,,S,S,,,,,,S,S,,,,,,,,,S,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Salty unknown,Atriplex argentea,1,2,,,,,,,,,,,,S,,,,,,S,,,,,,,,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Unknown 10 mini fruits,Galium bifolium,1,4,,,,,,,,,,,,,,,F,,F,,,,F,,,,,F
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Alternate long leaf forb,Polygonum douglasii,1,2,,,,,,,,,,,,,,,,,,,,,,S,S,,,
um1-4_ws_um1-1,Upper Montane,Upper Montane,um1-4,um1-1,within site transplant,within site transplant Upper Montane,Low Control,2019,20190708,forb,Unknown seedling,unknown seedling,1,1,,,,,,,,,,,,,,,,,,,,,,,SE,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Agoseris glauca,Agoseris glauca,1,2,,,,S,,,,,,,,,,,S,,,,,,,,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Bromus carinatus,Bromus carinatus,2,4,Bromus in 2-1 verified after seeing Fertile on July 22. In 1-1 verified on 7-28.,S,,,,,F,,,,,,,,,,,S,S,,,,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,graminoid,Elymus repens,Elymus repens,1,1,Added in 5-2 after checking the plot and seeing as Fertile on July 22 (would have been sterile at time of data collection),,,,,,,,,,,,,,,,,,,,,,S,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Erigeron speciosus,Erigeron speciosus,6,6,,,,,SD,FD,S,,,,S,,,,,,,,S,SD,,,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Heliomeris multiflora,Heliomeris multiflora,14,18,,SD,,,SE,S,,SE,SE,SE,S,,SE,SE,S,SD,,S,S,S,S,,S,S,,S
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Lathyrus lanszwertii,Lathyrus lanszwertii,4,8,,F,,,,,F,,,,,F,,S,,,FD,,,,,FD,F,,,S
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Ligusticum porteri,Ligusticum porteri,1,1,,,,,,,,,,,,,,S,,,,,,,,,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,graminoid,Melica spectabilis,Melica spectabilis,1,1,,F,,,,,,,,,,,,,,,,,,,,,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Mertensia fusiformis,Mertensia fusiformis,1,1,,,,,,,,,,,,,F,,,,,,,,,,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,graminoid,Poa reflexa,Poa reflexa,11,16,,,,F,S,F,,,S,S,SD,S,S,S,S,,S,SD,S,S,,S,S,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Potentilla pulcherrima,Potentilla pulcherrima,4,7,,,,,,S,,,,S,,S,,,F,S,,,,,,S,,,,SD
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,salty unknown,Atriplex argentea,1,10,,S,S,S,SE,S,,SE,S,S,,S,,,,,,,SE,,,,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Senecio crassulus,Senecio crassulus,1,1,,,,,,,,,,,,,,,,S,,,,,,,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Taraxacum officinale,Taraxacum officinale,1,2,,,,,,S,,,,,S,,,,,,,,,,,,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Viola sp.,Viola nuttallii,4,8,,,,,,S,,,,S,S,,,,F,,S,S,,,,,S,,,S
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Helianthella quinquenervis,Helianthella quinquenervis,1,1,,,S,,,,,,,,,,,,,,,,,,,,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Alternate long leaf forb,Polygonum douglasii,1,5,,,S,S,,,,SE,,,,,S,,,,,,,,,,,,S,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Senecio fuzzy,Senecio integerrimus,2,1,,,,,,,FD,,,,,,,,,,,,,,,,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Claytonia lanceolata,Claytonia lanceolata,1,1,,,,,,,,,,S,,,,,,,,,,,,,,,,
